"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Weighted_Average73","drawn-forest-186 - train_metrics/Weighted_Average73__MIN","drawn-forest-186 - train_metrics/Weighted_Average73__MAX"
"46000000","45","45","45","0.8432433448718221","0.8432433448718221","0.8432433448718221"
"47000000","46","46","46","0.8520582380915677","0.8520582380915677","0.8520582380915677"
"48000000","47","47","47","0.8497792449312","0.8497792449312","0.8497792449312"
"49000000","48","48","48","0.8511396553295065","0.8511396553295065","0.8511396553295065"
"50000000","49","49","49","0.8509058632949204","0.8509058632949204","0.8509058632949204"
"51000000","50","50","50","0.8449119045428047","0.8449119045428047","0.8449119045428047"
"52000000","51","51","51","0.8529306143494674","0.8529306143494674","0.8529306143494674"
"53000000","52","52","52","0.8565886330702532","0.8565886330702532","0.8565886330702532"
"54000000","53","53","53","0.8565067027324497","0.8565067027324497","0.8565067027324497"
"55000000","54","54","54","0.8549311065711401","0.8549311065711401","0.8549311065711401"
"56000000","55","55","55","0.8589484011872761","0.8589484011872761","0.8589484011872761"
"57000000","56","56","56","0.8583416802386877","0.8583416802386877","0.8583416802386877"
"58000000","57","57","57","0.8550447637319301","0.8550447637319301","0.8550447637319301"
"59000000","58","58","58","0.8562126180317275","0.8562126180317275","0.8562126180317275"
"60000000","59","59","59","0.8583505816443224","0.8583505816443224","0.8583505816443224"
"61000000","60","60","60","0.8600275803284056","0.8600275803284056","0.8600275803284056"
"62000000","61","61","61","0.8542368301862017","0.8542368301862017","0.8542368301862017"
"63000000","62","62","62","0.8610672740974668","0.8610672740974668","0.8610672740974668"
"64000000","63","63","63","0.8620742605444471","0.8620742605444471","0.8620742605444471"
"65000000","64","64","64","0.8639990996023263","0.8639990996023263","0.8639990996023263"
"66000000","65","65","65","0.8628122384253074","0.8628122384253074","0.8628122384253074"
"67000000","66","66","66","0.8643042169616879","0.8643042169616879","0.8643042169616879"
"68000000","67","67","67","0.8614939360836091","0.8614939360836091","0.8614939360836091"
"69000000","68","68","68","0.8708159007508675","0.8708159007508675","0.8708159007508675"
"70000000","69","69","69","0.8614383707926275","0.8614383707926275","0.8614383707926275"
"71000000","70","70","70","0.8607831242450206","0.8607831242450206","0.8607831242450206"
"72000000","71","71","71","0.8636106585314456","0.8636106585314456","0.8636106585314456"
"73000000","72","72","72","0.8636465792958594","0.8636465792958594","0.8636465792958594"
"74000000","73","73","73","0.8612733466904052","0.8612733466904052","0.8612733466904052"
"75000000","74","74","74","0.8651548895474236","0.8651548895474236","0.8651548895474236"
"76000000","75","75","75","0.8707071582466637","0.8707071582466637","0.8707071582466637"
"77000000","76","76","76","0.8668937855156993","0.8668937855156993","0.8668937855156993"
"78000000","77","77","77","0.8700566217659789","0.8700566217659789","0.8700566217659789"
"79000000","78","78","78","0.8654014485161872","0.8654014485161872","0.8654014485161872"
"80000000","79","79","79","0.8690068737213729","0.8690068737213729","0.8690068737213729"
"81000000","80","80","80","0.867290715043157","0.867290715043157","0.867290715043157"
"82000000","81","81","81","0.8710553737497431","0.8710553737497431","0.8710553737497431"
