"custom_step","crisp-puddle-168 - _step","crisp-puddle-168 - _step__MIN","crisp-puddle-168 - _step__MAX","crisp-puddle-168 - train_metrics/Neutrality","crisp-puddle-168 - train_metrics/Neutrality__MIN","crisp-puddle-168 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.6642166381088576","0.6642166381088576","0.6642166381088576"
"2000000","1","1","1","0.6999821734816599","0.6999821734816599","0.6999821734816599"
"3000000","2","2","2","0.7350957167602838","0.7350957167602838","0.7350957167602838"
"4000000","3","3","3","0.7608005778904632","0.7608005778904632","0.7608005778904632"
"5000000","4","4","4","0.7790349739858367","0.7790349739858367","0.7790349739858367"
"6000000","5","5","5","0.7871910736175669","0.7871910736175669","0.7871910736175669"
"7000000","6","6","6","0.7893022873969273","0.7893022873969273","0.7893022873969273"
"8000000","7","7","7","0.7950178072339904","0.7950178072339904","0.7950178072339904"
"9000000","8","8","8","0.802925683845536","0.802925683845536","0.802925683845536"
"10000000","9","9","9","0.8006966985400183","0.8006966985400183","0.8006966985400183"
"11000000","10","10","10","0.8093611021287314","0.8093611021287314","0.8093611021287314"
"12000000","11","11","11","0.8156979224261425","0.8156979224261425","0.8156979224261425"
"13000000","12","12","12","0.8092721110459986","0.8092721110459986","0.8092721110459986"
"14000000","13","13","13","0.7974955980750468","0.7974955980750468","0.7974955980750468"
"15000000","14","14","14","0.8035824416848281","0.8035824416848281","0.8035824416848281"
"16000000","15","15","15","0.7937536582222784","0.7937536582222784","0.7937536582222784"
"17000000","16","16","16","0.7944235711050381","0.7944235711050381","0.7944235711050381"
"18000000","17","17","17","0.8088280817781225","0.8088280817781225","0.8088280817781225"
"19000000","18","18","18","0.810908293219787","0.810908293219787","0.810908293219787"
"20000000","19","19","19","0.8060740002212012","0.8060740002212012","0.8060740002212012"
"21000000","20","20","20","0.8112177663592102","0.8112177663592102","0.8112177663592102"
"22000000","21","21","21","0.8035183292509176","0.8035183292509176","0.8035183292509176"
"23000000","22","22","22","0.8068881028209797","0.8068881028209797","0.8068881028209797"
"24000000","23","23","23","0.8133531447090496","0.8133531447090496","0.8133531447090496"
"25000000","24","24","24","0.8098340143132399","0.8098340143132399","0.8098340143132399"
"26000000","25","25","25","0.8107328831511585","0.8107328831511585","0.8107328831511585"
"27000000","26","26","26","0.8220426373451947","0.8220426373451947","0.8220426373451947"
"28000000","27","27","27","0.8240678014889792","0.8240678014889792","0.8240678014889792"
"29000000","28","28","28","0.8199709099436079","0.8199709099436079","0.8199709099436079"
"30000000","29","29","29","0.8207144577745685","0.8207144577745685","0.8207144577745685"
"31000000","30","30","30","0.8167936212352299","0.8167936212352299","0.8167936212352299"
"32000000","31","31","31","0.8215823099776653","0.8215823099776653","0.8215823099776653"
"33000000","32","32","32","0.824653725323294","0.824653725323294","0.824653725323294"
"34000000","33","33","33","0.8187368180199396","0.8187368180199396","0.8187368180199396"
"35000000","34","34","34","0.8283450361963883","0.8283450361963883","0.8283450361963883"
"36000000","35","35","35","0.827103688531584","0.827103688531584","0.827103688531584"
"37000000","36","36","36","0.8283580884992852","0.8283580884992852","0.8283580884992852"
"38000000","37","37","37","0.8353519192455415","0.8353519192455415","0.8353519192455415"
"39000000","38","38","38","0.8294922467872227","0.8294922467872227","0.8294922467872227"
"40000000","39","39","39","0.8279284883384999","0.8279284883384999","0.8279284883384999"
"41000000","40","40","40","0.8365359067249534","0.8365359067249534","0.8365359067249534"
"42000000","41","41","41","0.8320495929574881","0.8320495929574881","0.8320495929574881"
"43000000","42","42","42","0.8318665517729564","0.8318665517729564","0.8318665517729564"
"44000000","43","43","43","0.8300664216011605","0.8300664216011605","0.8300664216011605"
"45000000","44","44","44","0.8390733727883084","0.8390733727883084","0.8390733727883084"
"46000000","45","45","45","0.8348803816752541","0.8348803816752541","0.8348803816752541"
"47000000","46","46","46","0.8337760894080567","0.8337760894080567","0.8337760894080567"
"48000000","47","47","47","0.8299455246215264","0.8299455246215264","0.8299455246215264"
"49000000","48","48","48","0.8391266654687953","0.8391266654687953","0.8391266654687953"
"50000000","49","49","49","0.8435590795988673","0.8435590795988673","0.8435590795988673"
"51000000","50","50","50","0.8462796989240199","0.8462796989240199","0.8462796989240199"
"52000000","51","51","51","0.84033608728401","0.84033608728401","0.84033608728401"
"53000000","52","52","52","0.8410224400945653","0.8410224400945653","0.8410224400945653"
"54000000","53","53","53","0.8283114634289451","0.8283114634289451","0.8283114634289451"
"55000000","54","54","54","0.8293309971696071","0.8293309971696071","0.8293309971696071"
"56000000","55","55","55","0.8370770862287429","0.8370770862287429","0.8370770862287429"
"57000000","56","56","56","0.841937946956554","0.841937946956554","0.841937946956554"
"58000000","57","57","57","0.8355632244298227","0.8355632244298227","0.8355632244298227"
"59000000","58","58","58","0.8428631144465666","0.8428631144465666","0.8428631144465666"
"60000000","59","59","59","0.843789496086287","0.843789496086287","0.843789496086287"
"61000000","60","60","60","0.8372848583145566","0.8372848583145566","0.8372848583145566"
"62000000","61","61","61","0.8348472014970196","0.8348472014970196","0.8348472014970196"
"63000000","62","62","62","0.8408530396205668","0.8408530396205668","0.8408530396205668"
"64000000","63","63","63","0.8396289087386403","0.8396289087386403","0.8396289087386403"
"65000000","64","64","64","0.8325036208472075","0.8325036208472075","0.8325036208472075"
"66000000","65","65","65","0.8469165776613765","0.8469165776613765","0.8469165776613765"
"67000000","66","66","66","0.8415651676207705","0.8415651676207705","0.8415651676207705"
"68000000","67","67","67","0.8499487446878341","0.8499487446878341","0.8499487446878341"
"69000000","68","68","68","0.849944488854782","0.849944488854782","0.849944488854782"
"70000000","69","69","69","0.844136106939971","0.844136106939971","0.844136106939971"
"71000000","70","70","70","0.8435523354503199","0.8435523354503199","0.8435523354503199"
"72000000","71","71","71","0.8455816554719807","0.8455816554719807","0.8455816554719807"
"73000000","72","72","72","0.8472506099036741","0.8472506099036741","0.8472506099036741"
"74000000","73","73","73","0.8496874486919496","0.8496874486919496","0.8496874486919496"
"75000000","74","74","74","0.8410550252449652","0.8410550252449652","0.8410550252449652"
"76000000","75","75","75","0.8334443295655208","0.8334443295655208","0.8334443295655208"
"77000000","76","76","76","0.8521116733303675","0.8521116733303675","0.8521116733303675"
"78000000","77","77","77","0.8458247782845444","0.8458247782845444","0.8458247782845444"
"79000000","78","78","78","0.8431156015224773","0.8431156015224773","0.8431156015224773"
"80000000","79","79","79","0.8357744953877491","0.8357744953877491","0.8357744953877491"
"81000000","80","80","80","0.8387333237688349","0.8387333237688349","0.8387333237688349"
"82000000","81","81","81","0.8495334993845949","0.8495334993845949","0.8495334993845949"
"83000000","82","82","82","0.8291813198306293","0.8291813198306293","0.8291813198306293"
"84000000","83","83","83","0.8260481318830951","0.8260481318830951","0.8260481318830951"
"85000000","84","84","84","0.8375798077022457","0.8375798077022457","0.8375798077022457"
"86000000","85","85","85","0.8391178063580355","0.8391178063580355","0.8391178063580355"
"87000000","86","86","86","0.8463936334421919","0.8463936334421919","0.8463936334421919"
"88000000","87","87","87","0.8457018243947411","0.8457018243947411","0.8457018243947411"
"89000000","88","88","88","0.8410742804040909","0.8410742804040909","0.8410742804040909"
"90000000","89","89","89","0.8437301054625533","0.8437301054625533","0.8437301054625533"
"91000000","90","90","90","0.8393438141122969","0.8393438141122969","0.8393438141122969"
"92000000","91","91","91","0.8434417934247335","0.8434417934247335","0.8434417934247335"
"93000000","92","92","92","0.8420606399101759","0.8420606399101759","0.8420606399101759"
"94000000","93","93","93","0.8338333145939402","0.8338333145939402","0.8338333145939402"
"95000000","94","94","94","0.8485612379275355","0.8485612379275355","0.8485612379275355"
"96000000","95","95","95","0.8382503355480562","0.8382503355480562","0.8382503355480562"
"97000000","96","96","96","0.8462732667886687","0.8462732667886687","0.8462732667886687"
"98000000","97","97","97","0.8544237600937776","0.8544237600937776","0.8544237600937776"
"99000000","98","98","98","0.8526905476405721","0.8526905476405721","0.8526905476405721"
"100000000","99","99","99","0.8455355458985078","0.8455355458985078","0.8455355458985078"
