"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Neutrality","sleek-rain-188 - train_metrics/Neutrality__MIN","sleek-rain-188 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.6645178960826421","0.6645178960826421","0.6645178960826421"
"2000000","1","1","1","0.6970301727054186","0.6970301727054186","0.6970301727054186"
"3000000","2","2","2","0.7291427166119129","0.7291427166119129","0.7291427166119129"
"4000000","3","3","3","0.7629068665803133","0.7629068665803133","0.7629068665803133"
"5000000","4","4","4","0.779096657001274","0.779096657001274","0.779096657001274"
"6000000","5","5","5","0.7841937725456278","0.7841937725456278","0.7841937725456278"
"7000000","6","6","6","0.7982663013967982","0.7982663013967982","0.7982663013967982"
"8000000","7","7","7","0.7958358702765403","0.7958358702765403","0.7958358702765403"
"9000000","8","8","8","0.8092151418141196","0.8092151418141196","0.8092151418141196"
"10000000","9","9","9","0.8070216008379653","0.8070216008379653","0.8070216008379653"
"11000000","10","10","10","0.8066639923263101","0.8066639923263101","0.8066639923263101"
"12000000","11","11","11","0.8135184035596097","0.8135184035596097","0.8135184035596097"
"13000000","12","12","12","0.8121429072741521","0.8121429072741521","0.8121429072741521"
"14000000","13","13","13","0.8015132633085982","0.8015132633085982","0.8015132633085982"
"15000000","14","14","14","0.8060426192374726","0.8060426192374726","0.8060426192374726"
"16000000","15","15","15","0.807912552240271","0.807912552240271","0.807912552240271"
"17000000","16","16","16","0.8099801002691032","0.8099801002691032","0.8099801002691032"
"18000000","17","17","17","0.8082969849680922","0.8082969849680922","0.8082969849680922"
"19000000","18","18","18","0.8108451046363047","0.8108451046363047","0.8108451046363047"
"20000000","19","19","19","0.8008612376789247","0.8008612376789247","0.8008612376789247"
"21000000","20","20","20","0.8010281622891491","0.8010281622891491","0.8010281622891491"
"22000000","21","21","21","0.8087489351790282","0.8087489351790282","0.8087489351790282"
"23000000","22","22","22","0.8134825206882592","0.8134825206882592","0.8134825206882592"
"24000000","23","23","23","0.8036030237304272","0.8036030237304272","0.8036030237304272"
"25000000","24","24","24","0.8037277449138311","0.8037277449138311","0.8037277449138311"
"26000000","25","25","25","0.80194065053908","0.80194065053908","0.80194065053908"
"27000000","26","26","26","0.8135124044934051","0.8135124044934051","0.8135124044934051"
"28000000","27","27","27","0.8141074678674304","0.8141074678674304","0.8141074678674304"
"29000000","28","28","28","0.8167760617649222","0.8167760617649222","0.8167760617649222"
"30000000","29","29","29","0.8113913875943418","0.8113913875943418","0.8113913875943418"
"31000000","30","30","30","0.8145593513643397","0.8145593513643397","0.8145593513643397"
"32000000","31","31","31","0.8144830322626335","0.8144830322626335","0.8144830322626335"
"33000000","32","32","32","0.8114094602916638","0.8114094602916638","0.8114094602916638"
"34000000","33","33","33","0.8176051109380907","0.8176051109380907","0.8176051109380907"
"35000000","34","34","34","0.8310498119251694","0.8310498119251694","0.8310498119251694"
"36000000","35","35","35","0.8220036827513592","0.8220036827513592","0.8220036827513592"
"37000000","36","36","36","0.8292607174696305","0.8292607174696305","0.8292607174696305"
"38000000","37","37","37","0.8250861922421552","0.8250861922421552","0.8250861922421552"
"39000000","38","38","38","0.8233308571157191","0.8233308571157191","0.8233308571157191"
"40000000","39","39","39","0.8253874921223813","0.8253874921223813","0.8253874921223813"
"41000000","40","40","40","0.8205633917378208","0.8205633917378208","0.8205633917378208"
"42000000","41","41","41","0.8238417372399429","0.8238417372399429","0.8238417372399429"
"43000000","42","42","42","0.8234543424101396","0.8234543424101396","0.8234543424101396"
"44000000","43","43","43","0.8298270885976727","0.8298270885976727","0.8298270885976727"
"45000000","44","44","44","0.8310737977319141","0.8310737977319141","0.8310737977319141"
"46000000","45","45","45","0.8309818281488766","0.8309818281488766","0.8309818281488766"
"47000000","46","46","46","0.831264570195942","0.831264570195942","0.831264570195942"
"48000000","47","47","47","0.8319989403043877","0.8319989403043877","0.8319989403043877"
"49000000","48","48","48","0.8325245362914842","0.8325245362914842","0.8325245362914842"
"50000000","49","49","49","0.8301237578643855","0.8301237578643855","0.8301237578643855"
"51000000","50","50","50","0.821302937494281","0.821302937494281","0.821302937494281"
"52000000","51","51","51","0.8281207315797802","0.8281207315797802","0.8281207315797802"
"53000000","52","52","52","0.8243954551893025","0.8243954551893025","0.8243954551893025"
"54000000","53","53","53","0.8313736975503396","0.8313736975503396","0.8313736975503396"
"55000000","54","54","54","0.8282467509431772","0.8282467509431772","0.8282467509431772"
"56000000","55","55","55","0.841984908236688","0.841984908236688","0.841984908236688"
"57000000","56","56","56","0.8319899763170926","0.8319899763170926","0.8319899763170926"
"58000000","57","57","57","0.8307074342363258","0.8307074342363258","0.8307074342363258"
"59000000","58","58","58","0.8296539872903516","0.8296539872903516","0.8296539872903516"
"60000000","59","59","59","0.8303687697467081","0.8303687697467081","0.8303687697467081"
"61000000","60","60","60","0.8367385206331316","0.8367385206331316","0.8367385206331316"
"62000000","61","61","61","0.8320344347360054","0.8320344347360054","0.8320344347360054"
"63000000","62","62","62","0.8418671557720713","0.8418671557720713","0.8418671557720713"
"64000000","63","63","63","0.8317487327755797","0.8317487327755797","0.8317487327755797"
"65000000","64","64","64","0.8406188902572056","0.8406188902572056","0.8406188902572056"
"66000000","65","65","65","0.8363401109103803","0.8363401109103803","0.8363401109103803"
"67000000","66","66","66","0.8400453989126981","0.8400453989126981","0.8400453989126981"
"68000000","67","67","67","0.8287848236673847","0.8287848236673847","0.8287848236673847"
"69000000","68","68","68","0.8321008017640941","0.8321008017640941","0.8321008017640941"
