"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Neutrality","drawn-forest-186 - train_metrics/Neutrality__MIN","drawn-forest-186 - train_metrics/Neutrality__MAX"
"40000000","39","39","39","0.8280916488780196","0.8280916488780196","0.8280916488780196"
"41000000","40","40","40","0.8290453537163058","0.8290453537163058","0.8290453537163058"
"42000000","41","41","41","0.8341119892928986","0.8341119892928986","0.8341119892928986"
"43000000","42","42","42","0.8170152632546566","0.8170152632546566","0.8170152632546566"
"44000000","43","43","43","0.8209667587836121","0.8209667587836121","0.8209667587836121"
"45000000","44","44","44","0.8290037318512551","0.8290037318512551","0.8290037318512551"
"46000000","45","45","45","0.8231842218695969","0.8231842218695969","0.8231842218695969"
"47000000","46","46","46","0.8398671432523822","0.8398671432523822","0.8398671432523822"
"48000000","47","47","47","0.830360876848697","0.830360876848697","0.830360876848697"
"49000000","48","48","48","0.8377857230470508","0.8377857230470508","0.8377857230470508"
"50000000","49","49","49","0.8381346777213887","0.8381346777213887","0.8381346777213887"
"51000000","50","50","50","0.8337775982264021","0.8337775982264021","0.8337775982264021"
"52000000","51","51","51","0.8317751330357837","0.8317751330357837","0.8317751330357837"
"53000000","52","52","52","0.8314051478297702","0.8314051478297702","0.8314051478297702"
"54000000","53","53","53","0.8364383251550349","0.8364383251550349","0.8364383251550349"
"55000000","54","54","54","0.8327967910620935","0.8327967910620935","0.8327967910620935"
"56000000","55","55","55","0.8348553064533507","0.8348553064533507","0.8348553064533507"
"57000000","56","56","56","0.8373326020480599","0.8373326020480599","0.8373326020480599"
"58000000","57","57","57","0.8290758742013097","0.8290758742013097","0.8290758742013097"
"59000000","58","58","58","0.8281346111056468","0.8281346111056468","0.8281346111056468"
"60000000","59","59","59","0.8347440781885939","0.8347440781885939","0.8347440781885939"
"61000000","60","60","60","0.8369443565685739","0.8369443565685739","0.8369443565685739"
"62000000","61","61","61","0.8238933944416902","0.8238933944416902","0.8238933944416902"
"63000000","62","62","62","0.8378191980238864","0.8378191980238864","0.8378191980238864"
"64000000","63","63","63","0.8451760119039644","0.8451760119039644","0.8451760119039644"
"65000000","64","64","64","0.8388021098609597","0.8388021098609597","0.8388021098609597"
"66000000","65","65","65","0.8385437105343441","0.8385437105343441","0.8385437105343441"
"67000000","66","66","66","0.8401624342881658","0.8401624342881658","0.8401624342881658"
"68000000","67","67","67","0.8276202163722278","0.8276202163722278","0.8276202163722278"
"69000000","68","68","68","0.8399577614090108","0.8399577614090108","0.8399577614090108"
"70000000","69","69","69","0.8331854985515279","0.8331854985515279","0.8331854985515279"
"71000000","70","70","70","0.8311492221196436","0.8311492221196436","0.8311492221196436"
"72000000","71","71","71","0.8329823366709738","0.8329823366709738","0.8329823366709738"
"73000000","72","72","72","0.841393129193558","0.841393129193558","0.841393129193558"
"74000000","73","73","73","0.8360584961643375","0.8360584961643375","0.8360584961643375"
"75000000","74","74","74","0.8351254541758927","0.8351254541758927","0.8351254541758927"
"76000000","75","75","75","0.8534008017199786","0.8534008017199786","0.8534008017199786"
"77000000","76","76","76","0.8447488017827556","0.8447488017827556","0.8447488017827556"
"78000000","77","77","77","0.8480370050829459","0.8480370050829459","0.8480370050829459"
"79000000","78","78","78","0.8363339678943091","0.8363339678943091","0.8363339678943091"
"80000000","79","79","79","0.8362587135732559","0.8362587135732559","0.8362587135732559"
"81000000","80","80","80","0.8361802729699321","0.8361802729699321","0.8361802729699321"
"82000000","81","81","81","0.8479230167376913","0.8479230167376913","0.8479230167376913"
"83000000","82","82","82","0.8467063526289874","0.8467063526289874","0.8467063526289874"
"84000000","83","83","83","0.8417680627228402","0.8417680627228402","0.8417680627228402"
"85000000","84","84","84","0.8414559661784133","0.8414559661784133","0.8414559661784133"
"86000000","85","85","85","0.8413083013840966","0.8413083013840966","0.8413083013840966"
"87000000","86","86","86","0.8434771971132867","0.8434771971132867","0.8434771971132867"
"88000000","87","87","87","0.8402137942184659","0.8402137942184659","0.8402137942184659"
"89000000","88","88","88","0.8451414228270379","0.8451414228270379","0.8451414228270379"
"90000000","89","89","89","0.8397441759118348","0.8397441759118348","0.8397441759118348"
"91000000","90","90","90","0.8436440469017005","0.8436440469017005","0.8436440469017005"
"92000000","91","91","91","0.8393351034063528","0.8393351034063528","0.8393351034063528"
"93000000","92","92","92","0.8272562327781497","0.8272562327781497","0.8272562327781497"
"94000000","93","93","93","0.8437753040891945","0.8437753040891945","0.8437753040891945"
"95000000","94","94","94","0.8299102646696617","0.8299102646696617","0.8299102646696617"
"96000000","95","95","95","0.8392923346467791","0.8392923346467791","0.8392923346467791"
"97000000","96","96","96","0.842273106173541","0.842273106173541","0.842273106173541"
"98000000","97","97","97","0.8401924169757505","0.8401924169757505","0.8401924169757505"
"99000000","98","98","98","0.8375233547646453","0.8375233547646453","0.8375233547646453"
"100000000","99","99","99","0.846498263273505","0.846498263273505","0.846498263273505"
