"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Neutrality","distinctive-blaze-187 - train_metrics/Neutrality__MIN","distinctive-blaze-187 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.6649511933346811","0.6649511933346811","0.6649511933346811"
"2000000","1","1","1","0.6953783038235438","0.6953783038235438","0.6953783038235438"
"3000000","2","2","2","0.7318251948785647","0.7318251948785647","0.7318251948785647"
"4000000","3","3","3","0.7569592491951677","0.7569592491951677","0.7569592491951677"
"5000000","4","4","4","0.7707243900672434","0.7707243900672434","0.7707243900672434"
"6000000","5","5","5","0.7802779247619499","0.7802779247619499","0.7802779247619499"
"7000000","6","6","6","0.7840460294097141","0.7840460294097141","0.7840460294097141"
"8000000","7","7","7","0.785463974791596","0.785463974791596","0.785463974791596"
"9000000","8","8","8","0.7905655592204661","0.7905655592204661","0.7905655592204661"
"10000000","9","9","9","0.7924955961179501","0.7924955961179501","0.7924955961179501"
"11000000","10","10","10","0.7877816434635665","0.7877816434635665","0.7877816434635665"
"12000000","11","11","11","0.7964776566862426","0.7964776566862426","0.7964776566862426"
"13000000","12","12","12","0.7989042638600475","0.7989042638600475","0.7989042638600475"
"14000000","13","13","13","0.807679603031932","0.807679603031932","0.807679603031932"
"15000000","14","14","14","0.8056263022121931","0.8056263022121931","0.8056263022121931"
"16000000","15","15","15","0.804673922441178","0.804673922441178","0.804673922441178"
"17000000","16","16","16","0.7970747543645063","0.7970747543645063","0.7970747543645063"
"18000000","17","17","17","0.8068900170639236","0.8068900170639236","0.8068900170639236"
"19000000","18","18","18","0.8089606552489431","0.8089606552489431","0.8089606552489431"
"20000000","19","19","19","0.809603030500905","0.809603030500905","0.809603030500905"
"21000000","20","20","20","0.8056236830287532","0.8056236830287532","0.8056236830287532"
"22000000","21","21","21","0.8060670499455823","0.8060670499455823","0.8060670499455823"
"23000000","22","22","22","0.8056776011698306","0.8056776011698306","0.8056776011698306"
"24000000","23","23","23","0.7955962027640096","0.7955962027640096","0.7955962027640096"
"25000000","24","24","24","0.8010550019106023","0.8010550019106023","0.8010550019106023"
"26000000","25","25","25","0.8040127548210891","0.8040127548210891","0.8040127548210891"
"27000000","26","26","26","0.8093361124915546","0.8093361124915546","0.8093361124915546"
"28000000","27","27","27","0.8055843119437969","0.8055843119437969","0.8055843119437969"
"29000000","28","28","28","0.8118215331761646","0.8118215331761646","0.8118215331761646"
"30000000","29","29","29","0.8165894083644256","0.8165894083644256","0.8165894083644256"
"31000000","30","30","30","0.8192712842929922","0.8192712842929922","0.8192712842929922"
"32000000","31","31","31","0.8133788827884597","0.8133788827884597","0.8133788827884597"
"33000000","32","32","32","0.8145829716076215","0.8145829716076215","0.8145829716076215"
"34000000","33","33","33","0.8210422862857735","0.8210422862857735","0.8210422862857735"
"35000000","34","34","34","0.8168350378231245","0.8168350378231245","0.8168350378231245"
"36000000","35","35","35","0.8202069912588863","0.8202069912588863","0.8202069912588863"
"37000000","36","36","36","0.8218674157393242","0.8218674157393242","0.8218674157393242"
"38000000","37","37","37","0.8264034033666005","0.8264034033666005","0.8264034033666005"
"39000000","38","38","38","0.8299661630829834","0.8299661630829834","0.8299661630829834"
"40000000","39","39","39","0.8233082873550576","0.8233082873550576","0.8233082873550576"
"41000000","40","40","40","0.8214526216130499","0.8214526216130499","0.8214526216130499"
"42000000","41","41","41","0.8308917141503845","0.8308917141503845","0.8308917141503845"
"43000000","42","42","42","0.826347767731259","0.826347767731259","0.826347767731259"
"44000000","43","43","43","0.8351136709116701","0.8351136709116701","0.8351136709116701"
"45000000","44","44","44","0.8307343714879519","0.8307343714879519","0.8307343714879519"
"46000000","45","45","45","0.8295235591968416","0.8295235591968416","0.8295235591968416"
"47000000","46","46","46","0.8267411463803205","0.8267411463803205","0.8267411463803205"
"48000000","47","47","47","0.8282072794422229","0.8282072794422229","0.8282072794422229"
"49000000","48","48","48","0.8229399762205915","0.8229399762205915","0.8229399762205915"
"50000000","49","49","49","0.8353918150121624","0.8353918150121624","0.8353918150121624"
"51000000","50","50","50","0.828038398950565","0.828038398950565","0.828038398950565"
"52000000","51","51","51","0.8186650649899342","0.8186650649899342","0.8186650649899342"
"53000000","52","52","52","0.8169719359365236","0.8169719359365236","0.8169719359365236"
"54000000","53","53","53","0.8328393849901515","0.8328393849901515","0.8328393849901515"
"55000000","54","54","54","0.8305074696611121","0.8305074696611121","0.8305074696611121"
"56000000","55","55","55","0.8280691628856277","0.8280691628856277","0.8280691628856277"
"57000000","56","56","56","0.836404669637283","0.836404669637283","0.836404669637283"
"58000000","57","57","57","0.8274889345586657","0.8274889345586657","0.8274889345586657"
"59000000","58","58","58","0.8349814909564105","0.8349814909564105","0.8349814909564105"
"60000000","59","59","59","0.8338773034395545","0.8338773034395545","0.8338773034395545"
"61000000","60","60","60","0.8279834216013734","0.8279834216013734","0.8279834216013734"
"62000000","61","61","61","0.832639547074237","0.832639547074237","0.832639547074237"
"63000000","62","62","62","0.8415607049859923","0.8415607049859923","0.8415607049859923"
"64000000","63","63","63","0.8409957163797273","0.8409957163797273","0.8409957163797273"
"65000000","64","64","64","0.8385731000010408","0.8385731000010408","0.8385731000010408"
"66000000","65","65","65","0.8323894925556584","0.8323894925556584","0.8323894925556584"
"67000000","66","66","66","0.8330127817874836","0.8330127817874836","0.8330127817874836"
"68000000","67","67","67","0.8381620298194239","0.8381620298194239","0.8381620298194239"
"69000000","68","68","68","0.8358374805749349","0.8358374805749349","0.8358374805749349"
"70000000","69","69","69","0.8287290303168762","0.8287290303168762","0.8287290303168762"
"71000000","70","70","70","0.8222692850475607","0.8222692850475607","0.8222692850475607"
"72000000","71","71","71","0.8317039833224066","0.8317039833224066","0.8317039833224066"
"73000000","72","72","72","0.8452284453316173","0.8452284453316173","0.8452284453316173"
"74000000","73","73","73","0.8361087153611803","0.8361087153611803","0.8361087153611803"
"75000000","74","74","74","0.8360193830055469","0.8360193830055469","0.8360193830055469"
"76000000","75","75","75","0.8391224958217067","0.8391224958217067","0.8391224958217067"
"77000000","76","76","76","0.8332363324821704","0.8332363324821704","0.8332363324821704"
"78000000","77","77","77","0.835106825135161","0.835106825135161","0.835106825135161"
"79000000","78","78","78","0.8417541531614817","0.8417541531614817","0.8417541531614817"
"80000000","79","79","79","0.8258328934860558","0.8258328934860558","0.8258328934860558"
"81000000","80","80","80","0.8441845854741818","0.8441845854741818","0.8441845854741818"
"82000000","81","81","81","0.837905688227396","0.837905688227396","0.837905688227396"
"83000000","82","82","82","0.8385416771358878","0.8385416771358878","0.8385416771358878"
"84000000","83","83","83","0.8345758114821833","0.8345758114821833","0.8345758114821833"
"85000000","84","84","84","0.8443482270956965","0.8443482270956965","0.8443482270956965"
"86000000","85","85","85","0.8396846533257101","0.8396846533257101","0.8396846533257101"
"87000000","86","86","86","0.8383328979853817","0.8383328979853817","0.8383328979853817"
"88000000","87","87","87","0.840384695350495","0.840384695350495","0.840384695350495"
"89000000","88","88","88","0.8334283959514849","0.8334283959514849","0.8334283959514849"
"90000000","89","89","89","0.8303349371441423","0.8303349371441423","0.8303349371441423"
"91000000","90","90","90","0.8351856090744055","0.8351856090744055","0.8351856090744055"
"92000000","91","91","91","0.8430938973805698","0.8430938973805698","0.8430938973805698"
"93000000","92","92","92","0.8325263107518671","0.8325263107518671","0.8325263107518671"
"94000000","93","93","93","0.8495574835556506","0.8495574835556506","0.8495574835556506"
"95000000","94","94","94","0.8377543201713187","0.8377543201713187","0.8377543201713187"
"96000000","95","95","95","0.8509362655901975","0.8509362655901975","0.8509362655901975"
"97000000","96","96","96","0.835682460381172","0.835682460381172","0.835682460381172"
"98000000","97","97","97","0.8438461141302934","0.8438461141302934","0.8438461141302934"
"99000000","98","98","98","0.8418910450166405","0.8418910450166405","0.8418910450166405"
"100000000","99","99","99","0.8335987134173256","0.8335987134173256","0.8335987134173256"
