"custom_step","deep-bush-181 - _step","deep-bush-181 - _step__MIN","deep-bush-181 - _step__MAX","deep-bush-181 - train_metrics/Usefulness","deep-bush-181 - train_metrics/Usefulness__MIN","deep-bush-181 - train_metrics/Usefulness__MAX"
"27000000","26","26","26","0.7996726132754323","0.7996726132754323","0.7996726132754323"
"28000000","27","27","27","0.8056297254008722","0.8056297254008722","0.8056297254008722"
"29000000","28","28","28","0.8090799854777779","0.8090799854777779","0.8090799854777779"
"30000000","29","29","29","0.8120384293956403","0.8120384293956403","0.8120384293956403"
"31000000","30","30","30","0.8192647190786375","0.8192647190786375","0.8192647190786375"
"32000000","31","31","31","0.8187120626638229","0.8187120626638229","0.8187120626638229"
"33000000","32","32","32","0.8220203670776991","0.8220203670776991","0.8220203670776991"
"34000000","33","33","33","0.8229976874183677","0.8229976874183677","0.8229976874183677"
"35000000","34","34","34","0.8334307551026726","0.8334307551026726","0.8334307551026726"
"36000000","35","35","35","0.8263252662872589","0.8263252662872589","0.8263252662872589"
"37000000","36","36","36","0.837380031110418","0.837380031110418","0.837380031110418"
"38000000","37","37","37","0.8413863558069792","0.8413863558069792","0.8413863558069792"
"39000000","38","38","38","0.8419098529082847","0.8419098529082847","0.8419098529082847"
"40000000","39","39","39","0.8406145946718173","0.8406145946718173","0.8406145946718173"
"41000000","40","40","40","0.8453078292071929","0.8453078292071929","0.8453078292071929"
"42000000","41","41","41","0.8490246951543416","0.8490246951543416","0.8490246951543416"
"43000000","42","42","42","0.8494724765812462","0.8494724765812462","0.8494724765812462"
"44000000","43","43","43","0.849055236593675","0.849055236593675","0.849055236593675"
"45000000","44","44","44","0.8471946424490016","0.8471946424490016","0.8471946424490016"
"46000000","45","45","45","0.8500032499756469","0.8500032499756469","0.8500032499756469"
"47000000","46","46","46","0.8529061135027642","0.8529061135027642","0.8529061135027642"
"48000000","47","47","47","0.8544532015844173","0.8544532015844173","0.8544532015844173"
"49000000","48","48","48","0.8548893767888776","0.8548893767888776","0.8548893767888776"
"50000000","49","49","49","0.8529247731754801","0.8529247731754801","0.8529247731754801"
"51000000","50","50","50","0.8575084126541194","0.8575084126541194","0.8575084126541194"
"52000000","51","51","51","0.8600303782181218","0.8600303782181218","0.8600303782181218"
"53000000","52","52","52","0.8570559823751628","0.8570559823751628","0.8570559823751628"
"54000000","53","53","53","0.858695054256717","0.858695054256717","0.858695054256717"
"55000000","54","54","54","0.8613568954237111","0.8613568954237111","0.8613568954237111"
"56000000","55","55","55","0.8634329987558041","0.8634329987558041","0.8634329987558041"
"57000000","56","56","56","0.862335077700434","0.862335077700434","0.862335077700434"
"58000000","57","57","57","0.8628061950002439","0.8628061950002439","0.8628061950002439"
"59000000","58","58","58","0.8584521727509401","0.8584521727509401","0.8584521727509401"
"60000000","59","59","59","0.8644839417446403","0.8644839417446403","0.8644839417446403"
"61000000","60","60","60","0.8685757096057753","0.8685757096057753","0.8685757096057753"
"62000000","61","61","61","0.8716146851980059","0.8716146851980059","0.8716146851980059"
"63000000","62","62","62","0.8681562167308853","0.8681562167308853","0.8681562167308853"
"64000000","63","63","63","0.8692984006455848","0.8692984006455848","0.8692984006455848"
"65000000","64","64","64","0.8669470273176386","0.8669470273176386","0.8669470273176386"
"66000000","65","65","65","0.8724224535665381","0.8724224535665381","0.8724224535665381"
"67000000","66","66","66","0.8702686200613504","0.8702686200613504","0.8702686200613504"
"68000000","67","67","67","0.8709106064062986","0.8709106064062986","0.8709106064062986"
"69000000","68","68","68","0.870106000826169","0.870106000826169","0.870106000826169"
"70000000","69","69","69","0.8739186273325429","0.8739186273325429","0.8739186273325429"
"71000000","70","70","70","0.8701877880184338","0.8701877880184338","0.8701877880184338"
"72000000","71","71","71","0.8729877961820203","0.8729877961820203","0.8729877961820203"
"73000000","72","72","72","0.8720977311072344","0.8720977311072344","0.8720977311072344"
"74000000","73","73","73","0.8734845634283122","0.8734845634283122","0.8734845634283122"
"75000000","74","74","74","0.8763665567465766","0.8763665567465766","0.8763665567465766"
"76000000","75","75","75","0.8784640324847177","0.8784640324847177","0.8784640324847177"
"77000000","76","76","76","0.8802231213292988","0.8802231213292988","0.8802231213292988"
"78000000","77","77","77","0.8798786621967987","0.8798786621967987","0.8798786621967987"
"79000000","78","78","78","0.8804107995520853","0.8804107995520853","0.8804107995520853"
"80000000","79","79","79","0.8796772739647843","0.8796772739647843","0.8796772739647843"
"81000000","80","80","80","0.8787875875341422","0.8787875875341422","0.8787875875341422"
"82000000","81","81","81","0.8749849450801799","0.8749849450801799","0.8749849450801799"
