"custom_step","crisp-puddle-168 - _step","crisp-puddle-168 - _step__MIN","crisp-puddle-168 - _step__MAX","crisp-puddle-168 - train_metrics/Usefulness","crisp-puddle-168 - train_metrics/Usefulness__MIN","crisp-puddle-168 - train_metrics/Usefulness__MAX"
"63000000","62","62","62","0.8716092453935224","0.8716092453935224","0.8716092453935224"
"64000000","63","63","63","0.869187326890693","0.869187326890693","0.869187326890693"
"65000000","64","64","64","0.8688074384646242","0.8688074384646242","0.8688074384646242"
"66000000","65","65","65","0.872684630574059","0.872684630574059","0.872684630574059"
"67000000","66","66","66","0.8731986936181108","0.8731986936181108","0.8731986936181108"
"68000000","67","67","67","0.8735864850731532","0.8735864850731532","0.8735864850731532"
"69000000","68","68","68","0.8738520624513745","0.8738520624513745","0.8738520624513745"
"70000000","69","69","69","0.8751485554918449","0.8751485554918449","0.8751485554918449"
"71000000","70","70","70","0.8745754097994259","0.8745754097994259","0.8745754097994259"
"72000000","71","71","71","0.8762927491030286","0.8762927491030286","0.8762927491030286"
"73000000","72","72","72","0.880979976269957","0.880979976269957","0.880979976269957"
"74000000","73","73","73","0.8757387753767776","0.8757387753767776","0.8757387753767776"
"75000000","74","74","74","0.8764789942378715","0.8764789942378715","0.8764789942378715"
"76000000","75","75","75","0.872726526243989","0.872726526243989","0.872726526243989"
"77000000","76","76","76","0.8761621059191832","0.8761621059191832","0.8761621059191832"
"78000000","77","77","77","0.8768151061050367","0.8768151061050367","0.8768151061050367"
"79000000","78","78","78","0.8790182083285915","0.8790182083285915","0.8790182083285915"
"80000000","79","79","79","0.8771224309780453","0.8771224309780453","0.8771224309780453"
"81000000","80","80","80","0.8822855744195954","0.8822855744195954","0.8822855744195954"
"82000000","81","81","81","0.8816778447309116","0.8816778447309116","0.8816778447309116"
"83000000","82","82","82","0.8775366780090209","0.8775366780090209","0.8775366780090209"
"84000000","83","83","83","0.8779997404728391","0.8779997404728391","0.8779997404728391"
"85000000","84","84","84","0.8797029817612022","0.8797029817612022","0.8797029817612022"
"86000000","85","85","85","0.8829086106355252","0.8829086106355252","0.8829086106355252"
"87000000","86","86","86","0.881614586304567","0.881614586304567","0.881614586304567"
"88000000","87","87","87","0.8807952314883515","0.8807952314883515","0.8807952314883515"
"89000000","88","88","88","0.885792618518341","0.885792618518341","0.885792618518341"
"90000000","89","89","89","0.8832634338024776","0.8832634338024776","0.8832634338024776"
"91000000","90","90","90","0.8791831096300313","0.8791831096300313","0.8791831096300313"
"92000000","91","91","91","0.8834564345745561","0.8834564345745561","0.8834564345745561"
"93000000","92","92","92","0.881304947709292","0.881304947709292","0.881304947709292"
"94000000","93","93","93","0.8802373269000857","0.8802373269000857","0.8802373269000857"
"95000000","94","94","94","0.8888512509528114","0.8888512509528114","0.8888512509528114"
"96000000","95","95","95","0.8879682749836275","0.8879682749836275","0.8879682749836275"
"97000000","96","96","96","0.8905015031763324","0.8905015031763324","0.8905015031763324"
"98000000","97","97","97","0.8889340917689931","0.8889340917689931","0.8889340917689931"
"99000000","98","98","98","0.8887090140334017","0.8887090140334017","0.8887090140334017"
"100000000","99","99","99","0.8892441192156579","0.8892441192156579","0.8892441192156579"
