"custom_step","crisp-puddle-168 - _step","crisp-puddle-168 - _step__MIN","crisp-puddle-168 - _step__MAX","crisp-puddle-168 - train_metrics/Usefulness","crisp-puddle-168 - train_metrics/Usefulness__MIN","crisp-puddle-168 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.38978971157874776","0.38978971157874776","0.38978971157874776"
"2000000","1","1","1","0.46727603883163227","0.46727603883163227","0.46727603883163227"
"3000000","2","2","2","0.5397728099754108","0.5397728099754108","0.5397728099754108"
"4000000","3","3","3","0.5883187894851706","0.5883187894851706","0.5883187894851706"
"5000000","4","4","4","0.6305753705553993","0.6305753705553993","0.6305753705553993"
"6000000","5","5","5","0.6536538880772872","0.6536538880772872","0.6536538880772872"
"7000000","6","6","6","0.6706358561163761","0.6706358561163761","0.6706358561163761"
"8000000","7","7","7","0.6802728100401944","0.6802728100401944","0.6802728100401944"
"9000000","8","8","8","0.6920081465623519","0.6920081465623519","0.6920081465623519"
"10000000","9","9","9","0.6989714212345552","0.6989714212345552","0.6989714212345552"
"11000000","10","10","10","0.7036488116701307","0.7036488116701307","0.7036488116701307"
"12000000","11","11","11","0.710439889836328","0.710439889836328","0.710439889836328"
"13000000","12","12","12","0.7237922387110264","0.7237922387110264","0.7237922387110264"
"14000000","13","13","13","0.7261843578824266","0.7261843578824266","0.7261843578824266"
"15000000","14","14","14","0.7349257509246502","0.7349257509246502","0.7349257509246502"
"16000000","15","15","15","0.7506493084041959","0.7506493084041959","0.7506493084041959"
"17000000","16","16","16","0.749662640863927","0.749662640863927","0.749662640863927"
"18000000","17","17","17","0.7548888830529994","0.7548888830529994","0.7548888830529994"
"19000000","18","18","18","0.7606063644432779","0.7606063644432779","0.7606063644432779"
"20000000","19","19","19","0.7702400155068257","0.7702400155068257","0.7702400155068257"
"21000000","20","20","20","0.7737132714499444","0.7737132714499444","0.7737132714499444"
"22000000","21","21","21","0.7828735173694361","0.7828735173694361","0.7828735173694361"
"23000000","22","22","22","0.7874020361899445","0.7874020361899445","0.7874020361899445"
"24000000","23","23","23","0.7896222958653794","0.7896222958653794","0.7896222958653794"
"25000000","24","24","24","0.7927991716374709","0.7927991716374709","0.7927991716374709"
"26000000","25","25","25","0.7974677425668817","0.7974677425668817","0.7974677425668817"
"27000000","26","26","26","0.802416718348966","0.802416718348966","0.802416718348966"
"28000000","27","27","27","0.807140256074257","0.807140256074257","0.807140256074257"
"29000000","28","28","28","0.8070456460320371","0.8070456460320371","0.8070456460320371"
"30000000","29","29","29","0.81898772215727","0.81898772215727","0.81898772215727"
"31000000","30","30","30","0.8164065048636071","0.8164065048636071","0.8164065048636071"
"32000000","31","31","31","0.8217436960066637","0.8217436960066637","0.8217436960066637"
"33000000","32","32","32","0.8226311904577223","0.8226311904577223","0.8226311904577223"
"34000000","33","33","33","0.826008735066756","0.826008735066756","0.826008735066756"
"35000000","34","34","34","0.8276454562238297","0.8276454562238297","0.8276454562238297"
"36000000","35","35","35","0.8336869498691782","0.8336869498691782","0.8336869498691782"
"37000000","36","36","36","0.837171921278926","0.837171921278926","0.837171921278926"
"38000000","37","37","37","0.83619496589539","0.83619496589539","0.83619496589539"
"39000000","38","38","38","0.8389068109689629","0.8389068109689629","0.8389068109689629"
"40000000","39","39","39","0.8441700171576173","0.8441700171576173","0.8441700171576173"
"41000000","40","40","40","0.8459870794478022","0.8459870794478022","0.8459870794478022"
"42000000","41","41","41","0.8438720771999331","0.8438720771999331","0.8438720771999331"
"43000000","42","42","42","0.845018664022333","0.845018664022333","0.845018664022333"
"44000000","43","43","43","0.848301467133353","0.848301467133353","0.848301467133353"
"45000000","44","44","44","0.8508845637051025","0.8508845637051025","0.8508845637051025"
"46000000","45","45","45","0.8458472956565666","0.8458472956565666","0.8458472956565666"
"47000000","46","46","46","0.8498311737435424","0.8498311737435424","0.8498311737435424"
"48000000","47","47","47","0.8516230171555369","0.8516230171555369","0.8516230171555369"
"49000000","48","48","48","0.8568598738335339","0.8568598738335339","0.8568598738335339"
"50000000","49","49","49","0.8558828301955343","0.8558828301955343","0.8558828301955343"
"51000000","50","50","50","0.8593952520313265","0.8593952520313265","0.8593952520313265"
"52000000","51","51","51","0.8626907791939284","0.8626907791939284","0.8626907791939284"
"53000000","52","52","52","0.8641118133498457","0.8641118133498457","0.8641118133498457"
"54000000","53","53","53","0.858621843512668","0.858621843512668","0.858621843512668"
"55000000","54","54","54","0.8601110314921743","0.8601110314921743","0.8601110314921743"
"56000000","55","55","55","0.863149520117832","0.863149520117832","0.863149520117832"
"57000000","56","56","56","0.8644645299448923","0.8644645299448923","0.8644645299448923"
"58000000","57","57","57","0.8637939533476371","0.8637939533476371","0.8637939533476371"
"59000000","58","58","58","0.8622240881702296","0.8622240881702296","0.8622240881702296"
"60000000","59","59","59","0.8641929585164233","0.8641929585164233","0.8641929585164233"
"61000000","60","60","60","0.8683664799667453","0.8683664799667453","0.8683664799667453"
"62000000","61","61","61","0.8652085254703773","0.8652085254703773","0.8652085254703773"
