"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Usefulness","sleek-rain-188 - train_metrics/Usefulness__MIN","sleek-rain-188 - train_metrics/Usefulness__MAX"
"30000000","29","29","29","0.8194306995112628","0.8194306995112628","0.8194306995112628"
"31000000","30","30","30","0.8197964929003017","0.8197964929003017","0.8197964929003017"
"32000000","31","31","31","0.8206147186491657","0.8206147186491657","0.8206147186491657"
"33000000","32","32","32","0.8245757922521836","0.8245757922521836","0.8245757922521836"
"34000000","33","33","33","0.8245847666302033","0.8245847666302033","0.8245847666302033"
"35000000","34","34","34","0.8291914163967171","0.8291914163967171","0.8291914163967171"
"36000000","35","35","35","0.8336073870181415","0.8336073870181415","0.8336073870181415"
"37000000","36","36","36","0.834871303047032","0.834871303047032","0.834871303047032"
"38000000","37","37","37","0.8386709200635444","0.8386709200635444","0.8386709200635444"
"39000000","38","38","38","0.8361690848349206","0.8361690848349206","0.8361690848349206"
"40000000","39","39","39","0.8362615661316964","0.8362615661316964","0.8362615661316964"
"41000000","40","40","40","0.8382406942229454","0.8382406942229454","0.8382406942229454"
"42000000","41","41","41","0.8448435116031372","0.8448435116031372","0.8448435116031372"
"43000000","42","42","42","0.8463947328815722","0.8463947328815722","0.8463947328815722"
"44000000","43","43","43","0.8511541019497236","0.8511541019497236","0.8511541019497236"
"45000000","44","44","44","0.847334273776918","0.847334273776918","0.847334273776918"
"46000000","45","45","45","0.8478410542211967","0.8478410542211967","0.8478410542211967"
"47000000","46","46","46","0.843364496241448","0.843364496241448","0.843364496241448"
"48000000","47","47","47","0.852975146679051","0.852975146679051","0.852975146679051"
"49000000","48","48","48","0.8545325129519428","0.8545325129519428","0.8545325129519428"
"50000000","49","49","49","0.8560355306825361","0.8560355306825361","0.8560355306825361"
"51000000","50","50","50","0.8542156259873512","0.8542156259873512","0.8542156259873512"
