"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Usefulness","distinctive-blaze-187 - train_metrics/Usefulness__MIN","distinctive-blaze-187 - train_metrics/Usefulness__MAX"
"33000000","32","32","32","0.8267598797179381","0.8267598797179381","0.8267598797179381"
"34000000","33","33","33","0.8272951431609941","0.8272951431609941","0.8272951431609941"
"35000000","34","34","34","0.8270797021355512","0.8270797021355512","0.8270797021355512"
"36000000","35","35","35","0.8339909596230253","0.8339909596230253","0.8339909596230253"
"37000000","36","36","36","0.8327267654948625","0.8327267654948625","0.8327267654948625"
"38000000","37","37","37","0.831868672992352","0.831868672992352","0.831868672992352"
"39000000","38","38","38","0.8424744811744246","0.8424744811744246","0.8424744811744246"
"40000000","39","39","39","0.8375951089474231","0.8375951089474231","0.8375951089474231"
"41000000","40","40","40","0.8424788024624552","0.8424788024624552","0.8424788024624552"
"42000000","41","41","41","0.8357540581353841","0.8357540581353841","0.8357540581353841"
"43000000","42","42","42","0.8466567550052205","0.8466567550052205","0.8466567550052205"
"44000000","43","43","43","0.8499950698296131","0.8499950698296131","0.8499950698296131"
"45000000","44","44","44","0.849281613357075","0.849281613357075","0.849281613357075"
"46000000","45","45","45","0.8523667737295451","0.8523667737295451","0.8523667737295451"
"47000000","46","46","46","0.8570806066635025","0.8570806066635025","0.8570806066635025"
"48000000","47","47","47","0.8562726155161908","0.8562726155161908","0.8562726155161908"
"49000000","48","48","48","0.8535872172052925","0.8535872172052925","0.8535872172052925"
"50000000","49","49","49","0.8563630086459393","0.8563630086459393","0.8563630086459393"
"51000000","50","50","50","0.8576680267641102","0.8576680267641102","0.8576680267641102"
"52000000","51","51","51","0.8625761220967011","0.8625761220967011","0.8625761220967011"
"53000000","52","52","52","0.8621207462308336","0.8621207462308336","0.8621207462308336"
"54000000","53","53","53","0.8612358317816937","0.8612358317816937","0.8612358317816937"
"55000000","54","54","54","0.8640717341612304","0.8640717341612304","0.8640717341612304"
"56000000","55","55","55","0.864453608192788","0.864453608192788","0.864453608192788"
"57000000","56","56","56","0.8636163827546502","0.8636163827546502","0.8636163827546502"
"58000000","57","57","57","0.8650904369876882","0.8650904369876882","0.8650904369876882"
"59000000","58","58","58","0.8681638956375112","0.8681638956375112","0.8681638956375112"
"60000000","59","59","59","0.8629708069966977","0.8629708069966977","0.8629708069966977"
"61000000","60","60","60","0.8670470048416962","0.8670470048416962","0.8670470048416962"
"62000000","61","61","61","0.8640921869327813","0.8640921869327813","0.8640921869327813"
"63000000","62","62","62","0.8687064396977714","0.8687064396977714","0.8687064396977714"
"64000000","63","63","63","0.8681700926731455","0.8681700926731455","0.8681700926731455"
"65000000","64","64","64","0.8653055707888703","0.8653055707888703","0.8653055707888703"
"66000000","65","65","65","0.8656329751760579","0.8656329751760579","0.8656329751760579"
"67000000","66","66","66","0.8689421785394","0.8689421785394","0.8689421785394"
"68000000","67","67","67","0.8715530599432374","0.8715530599432374","0.8715530599432374"
"69000000","68","68","68","0.87101218996828","0.87101218996828","0.87101218996828"
"70000000","69","69","69","0.8720142557144063","0.8720142557144063","0.8720142557144063"
"71000000","70","70","70","0.8690600775254052","0.8690600775254052","0.8690600775254052"
"72000000","71","71","71","0.8723059248175634","0.8723059248175634","0.8723059248175634"
"73000000","72","72","72","0.8737242535590823","0.8737242535590823","0.8737242535590823"
"74000000","73","73","73","0.8719696298095251","0.8719696298095251","0.8719696298095251"
"75000000","74","74","74","0.8747027743586949","0.8747027743586949","0.8747027743586949"
"76000000","75","75","75","0.8720233860311549","0.8720233860311549","0.8720233860311549"
