"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Usefulness","lively-sky-199 - train_metrics/Usefulness__MIN","lively-sky-199 - train_metrics/Usefulness__MAX"
"26000000","25","25","25","0.8432545736237311","0.8432545736237311","0.8432545736237311"
"27000000","26","26","26","0.8399892026984583","0.8399892026984583","0.8399892026984583"
"28000000","27","27","27","0.8474030922014113","0.8474030922014113","0.8474030922014113"
"29000000","28","28","28","0.8537548995405303","0.8537548995405303","0.8537548995405303"
"30000000","29","29","29","0.858091885190855","0.858091885190855","0.858091885190855"
"31000000","30","30","30","0.8477443926552576","0.8477443926552576","0.8477443926552576"
"32000000","31","31","31","0.8633415407740699","0.8633415407740699","0.8633415407740699"
"33000000","32","32","32","0.8674268691531924","0.8674268691531924","0.8674268691531924"
"34000000","33","33","33","0.8764123266196852","0.8764123266196852","0.8764123266196852"
"35000000","34","34","34","0.8768318771660402","0.8768318771660402","0.8768318771660402"
"36000000","35","35","35","0.8640672011734991","0.8640672011734991","0.8640672011734991"
"37000000","36","36","36","0.8625615373150235","0.8625615373150235","0.8625615373150235"
"38000000","37","37","37","0.8691725911385024","0.8691725911385024","0.8691725911385024"
"39000000","38","38","38","0.8822861073036299","0.8822861073036299","0.8822861073036299"
"40000000","39","39","39","0.855163077509689","0.855163077509689","0.855163077509689"
"41000000","40","40","40","0.8705484022234006","0.8705484022234006","0.8705484022234006"
"42000000","41","41","41","0.879074683013674","0.879074683013674","0.879074683013674"
"43000000","42","42","42","0.8810254431821082","0.8810254431821082","0.8810254431821082"
"44000000","43","43","43","0.8802098672329463","0.8802098672329463","0.8802098672329463"
"45000000","44","44","44","0.8798565890843698","0.8798565890843698","0.8798565890843698"
"46000000","45","45","45","0.8897988249509959","0.8897988249509959","0.8897988249509959"
"47000000","46","46","46","0.892679625462758","0.892679625462758","0.892679625462758"
"48000000","47","47","47","0.8962682042970298","0.8962682042970298","0.8962682042970298"
"49000000","48","48","48","0.8805349038296268","0.8805349038296268","0.8805349038296268"
"50000000","49","49","49","0.8853653315305788","0.8853653315305788","0.8853653315305788"
"51000000","50","50","50","0.892993711245467","0.892993711245467","0.892993711245467"
"52000000","51","51","51","0.8859435229977194","0.8859435229977194","0.8859435229977194"
"53000000","52","52","52","0.8934017365845728","0.8934017365845728","0.8934017365845728"
"54000000","53","53","53","0.8956144776774706","0.8956144776774706","0.8956144776774706"
"55000000","54","54","54","0.8947668301207596","0.8947668301207596","0.8947668301207596"
"56000000","55","55","55","0.8929276363318639","0.8929276363318639","0.8929276363318639"
"57000000","56","56","56","0.8919459781682938","0.8919459781682938","0.8919459781682938"
