"custom_step","true-sea-198 - _step","true-sea-198 - _step__MIN","true-sea-198 - _step__MAX","true-sea-198 - train_metrics/Usefulness","true-sea-198 - train_metrics/Usefulness__MIN","true-sea-198 - train_metrics/Usefulness__MAX"
"24000000","23","23","23","0.8392085691815722","0.8392085691815722","0.8392085691815722"
"25000000","24","24","24","0.8125402481590451","0.8125402481590451","0.8125402481590451"
"26000000","25","25","25","0.8379961856024314","0.8379961856024314","0.8379961856024314"
"27000000","26","26","26","0.8481460519084695","0.8481460519084695","0.8481460519084695"
"28000000","27","27","27","0.8415395830587965","0.8415395830587965","0.8415395830587965"
"29000000","28","28","28","0.8512845973860852","0.8512845973860852","0.8512845973860852"
"30000000","29","29","29","0.8583647823832213","0.8583647823832213","0.8583647823832213"
"31000000","30","30","30","0.8673173419350393","0.8673173419350393","0.8673173419350393"
"32000000","31","31","31","0.8565640120287026","0.8565640120287026","0.8565640120287026"
"33000000","32","32","32","0.8583370837291984","0.8583370837291984","0.8583370837291984"
"34000000","33","33","33","0.8488308522515254","0.8488308522515254","0.8488308522515254"
"35000000","34","34","34","0.8566203673947513","0.8566203673947513","0.8566203673947513"
"36000000","35","35","35","0.8737573531034033","0.8737573531034033","0.8737573531034033"
"37000000","36","36","36","0.8720840476815759","0.8720840476815759","0.8720840476815759"
"38000000","37","37","37","0.8668724087385838","0.8668724087385838","0.8668724087385838"
"39000000","38","38","38","0.8817872329371553","0.8817872329371553","0.8817872329371553"
"40000000","39","39","39","0.886197562413799","0.886197562413799","0.886197562413799"
"41000000","40","40","40","0.8701523601487234","0.8701523601487234","0.8701523601487234"
"42000000","41","41","41","0.8710928429106699","0.8710928429106699","0.8710928429106699"
"43000000","42","42","42","0.8789874998380395","0.8789874998380395","0.8789874998380395"
"44000000","43","43","43","0.8779703977889703","0.8779703977889703","0.8779703977889703"
"45000000","44","44","44","0.8847572460275904","0.8847572460275904","0.8847572460275904"
"46000000","45","45","45","0.8882712707670442","0.8882712707670442","0.8882712707670442"
"47000000","46","46","46","0.8973086379153982","0.8973086379153982","0.8973086379153982"
"48000000","47","47","47","0.8980381887790208","0.8980381887790208","0.8980381887790208"
"49000000","48","48","48","0.8916188993379961","0.8916188993379961","0.8916188993379961"
"50000000","49","49","49","0.888236779316226","0.888236779316226","0.888236779316226"
"51000000","50","50","50","0.8926574013877551","0.8926574013877551","0.8926574013877551"
"52000000","51","51","51","0.8931228129316184","0.8931228129316184","0.8931228129316184"
"53000000","52","52","52","0.8874320261152672","0.8874320261152672","0.8874320261152672"
"54000000","53","53","53","0.8948460754217408","0.8948460754217408","0.8948460754217408"
"55000000","54","54","54","0.900728897076069","0.900728897076069","0.900728897076069"
"56000000","55","55","55","0.8981227623959529","0.8981227623959529","0.8981227623959529"
"57000000","56","56","56","0.9024821576483006","0.9024821576483006","0.9024821576483006"
"58000000","57","57","57","0.9020365974331587","0.9020365974331587","0.9020365974331587"
"59000000","58","58","58","0.8925442000824255","0.8925442000824255","0.8925442000824255"
"60000000","59","59","59","0.8985145797911267","0.8985145797911267","0.8985145797911267"
"61000000","60","60","60","0.9036730806209293","0.9036730806209293","0.9036730806209293"
"62000000","61","61","61","0.8977813200346213","0.8977813200346213","0.8977813200346213"
"63000000","62","62","62","0.9016120778783205","0.9016120778783205","0.9016120778783205"
"64000000","63","63","63","0.9071311786062929","0.9071311786062929","0.9071311786062929"
"65000000","64","64","64","0.9076824724341929","0.9076824724341929","0.9076824724341929"
"66000000","65","65","65","0.9097239159555321","0.9097239159555321","0.9097239159555321"
"67000000","66","66","66","0.9091375410479723","0.9091375410479723","0.9091375410479723"
"68000000","67","67","67","0.9038036309407187","0.9038036309407187","0.9038036309407187"
"69000000","68","68","68","0.9145744814079922","0.9145744814079922","0.9145744814079922"
"70000000","69","69","69","0.9135121567722294","0.9135121567722294","0.9135121567722294"
"71000000","70","70","70","0.9054345026706904","0.9054345026706904","0.9054345026706904"
"72000000","71","71","71","0.9041205826143052","0.9041205826143052","0.9041205826143052"
"73000000","72","72","72","0.9068553202094232","0.9068553202094232","0.9068553202094232"
"74000000","73","73","73","0.9149746009687326","0.9149746009687326","0.9149746009687326"
"75000000","74","74","74","0.9052968343045668","0.9052968343045668","0.9052968343045668"
"76000000","75","75","75","0.9100950509772392","0.9100950509772392","0.9100950509772392"
"77000000","76","76","76","0.9069487982261925","0.9069487982261925","0.9069487982261925"
"78000000","77","77","77","0.9166637679278647","0.9166637679278647","0.9166637679278647"
"79000000","78","78","78","0.9163079966507733","0.9163079966507733","0.9163079966507733"
"80000000","79","79","79","0.9131881314254137","0.9131881314254137","0.9131881314254137"
"81000000","80","80","80","0.9139823244019302","0.9139823244019302","0.9139823244019302"
"82000000","81","81","81","0.9194543694708132","0.9194543694708132","0.9194543694708132"
"83000000","82","82","82","0.9203195918422464","0.9203195918422464","0.9203195918422464"
"84000000","83","83","83","0.9232050992045426","0.9232050992045426","0.9232050992045426"
"85000000","84","84","84","0.9231203477338861","0.9231203477338861","0.9231203477338861"
"86000000","85","85","85","0.9136221738591164","0.9136221738591164","0.9136221738591164"
"87000000","86","86","86","0.9215802195146648","0.9215802195146648","0.9215802195146648"
"88000000","87","87","87","0.9228861125043651","0.9228861125043651","0.9228861125043651"
"89000000","88","88","88","0.9203172018125954","0.9203172018125954","0.9203172018125954"
"90000000","89","89","89","0.9217622931727599","0.9217622931727599","0.9217622931727599"
"91000000","90","90","90","0.9235184032692282","0.9235184032692282","0.9235184032692282"
"92000000","91","91","91","0.9233796256428185","0.9233796256428185","0.9233796256428185"
"93000000","92","92","92","0.9216365309683457","0.9216365309683457","0.9216365309683457"
"94000000","93","93","93","0.9235688067324002","0.9235688067324002","0.9235688067324002"
"95000000","94","94","94","0.9085012915343564","0.9085012915343564","0.9085012915343564"
"96000000","95","95","95","0.9161622289294831","0.9161622289294831","0.9161622289294831"
"97000000","96","96","96","0.9173747887703474","0.9173747887703474","0.9173747887703474"
"98000000","97","97","97","0.9255320236639938","0.9255320236639938","0.9255320236639938"
"99000000","98","98","98","0.9238279270922587","0.9238279270922587","0.9238279270922587"
"100000000","99","99","99","0.9279766287327869","0.9279766287327869","0.9279766287327869"
