"custom_step","true-sea-198 - _step","true-sea-198 - _step__MIN","true-sea-198 - _step__MAX","true-sea-198 - train_metrics/Usefulness","true-sea-198 - train_metrics/Usefulness__MIN","true-sea-198 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.45084401355470577","0.45084401355470577","0.45084401355470577"
"2000000","1","1","1","0.4749670650978757","0.4749670650978757","0.4749670650978757"
"3000000","2","2","2","0.5293021412288335","0.5293021412288335","0.5293021412288335"
"4000000","3","3","3","0.5432114617609898","0.5432114617609898","0.5432114617609898"
"5000000","4","4","4","0.5828983349197632","0.5828983349197632","0.5828983349197632"
"6000000","5","5","5","0.6231653776313272","0.6231653776313272","0.6231653776313272"
"7000000","6","6","6","0.6443672444585651","0.6443672444585651","0.6443672444585651"
"8000000","7","7","7","0.6796678059928758","0.6796678059928758","0.6796678059928758"
"9000000","8","8","8","0.7020937984671104","0.7020937984671104","0.7020937984671104"
"10000000","9","9","9","0.6919472296835466","0.6919472296835466","0.6919472296835466"
"11000000","10","10","10","0.7295836650018798","0.7295836650018798","0.7295836650018798"
"12000000","11","11","11","0.7061879367655194","0.7061879367655194","0.7061879367655194"
"13000000","12","12","12","0.7278175716242425","0.7278175716242425","0.7278175716242425"
"14000000","13","13","13","0.7593276516321616","0.7593276516321616","0.7593276516321616"
"15000000","14","14","14","0.7512262033098481","0.7512262033098481","0.7512262033098481"
"16000000","15","15","15","0.7703121969393278","0.7703121969393278","0.7703121969393278"
"17000000","16","16","16","0.7753556949621901","0.7753556949621901","0.7753556949621901"
"18000000","17","17","17","0.7892024398704554","0.7892024398704554","0.7892024398704554"
"19000000","18","18","18","0.8015501129257784","0.8015501129257784","0.8015501129257784"
"20000000","19","19","19","0.8139379583278089","0.8139379583278089","0.8139379583278089"
"21000000","20","20","20","0.8221425284317158","0.8221425284317158","0.8221425284317158"
"22000000","21","21","21","0.8154596139452376","0.8154596139452376","0.8154596139452376"
"23000000","22","22","22","0.8336800494399728","0.8336800494399728","0.8336800494399728"
