"custom_step","likely-oath-197 - _step","likely-oath-197 - _step__MIN","likely-oath-197 - _step__MAX","likely-oath-197 - train_metrics/Usefulness","likely-oath-197 - train_metrics/Usefulness__MIN","likely-oath-197 - train_metrics/Usefulness__MAX"
"59000000","58","58","58","0.9030598921875419","0.9030598921875419","0.9030598921875419"
"60000000","59","59","59","0.8962469833266047","0.8962469833266047","0.8962469833266047"
"61000000","60","60","60","0.9027953663339446","0.9027953663339446","0.9027953663339446"
"62000000","61","61","61","0.8804471128054641","0.8804471128054641","0.8804471128054641"
"63000000","62","62","62","0.891675506748935","0.891675506748935","0.891675506748935"
"64000000","63","63","63","0.8995208882967023","0.8995208882967023","0.8995208882967023"
"65000000","64","64","64","0.8964720442014482","0.8964720442014482","0.8964720442014482"
"66000000","65","65","65","0.9047428443985386","0.9047428443985386","0.9047428443985386"
"67000000","66","66","66","0.9068812965573256","0.9068812965573256","0.9068812965573256"
"68000000","67","67","67","0.9064128572007263","0.9064128572007263","0.9064128572007263"
"69000000","68","68","68","0.9154343999253899","0.9154343999253899","0.9154343999253899"
"70000000","69","69","69","0.9132741352171653","0.9132741352171653","0.9132741352171653"
"71000000","70","70","70","0.8939105035322636","0.8939105035322636","0.8939105035322636"
"72000000","71","71","71","0.9131681703476082","0.9131681703476082","0.9131681703476082"
"73000000","72","72","72","0.9046739791346334","0.9046739791346334","0.9046739791346334"
"74000000","73","73","73","0.9066247785676851","0.9066247785676851","0.9066247785676851"
"75000000","74","74","74","0.9104678478783487","0.9104678478783487","0.9104678478783487"
"76000000","75","75","75","0.9168070529009571","0.9168070529009571","0.9168070529009571"
"77000000","76","76","76","0.9138301851082649","0.9138301851082649","0.9138301851082649"
"78000000","77","77","77","0.9161044144730676","0.9161044144730676","0.9161044144730676"
"79000000","78","78","78","0.9104309505965854","0.9104309505965854","0.9104309505965854"
"80000000","79","79","79","0.9124706130627327","0.9124706130627327","0.9124706130627327"
"81000000","80","80","80","0.9126844907748939","0.9126844907748939","0.9126844907748939"
"82000000","81","81","81","0.9175733135311146","0.9175733135311146","0.9175733135311146"
"83000000","82","82","82","0.9155915971479598","0.9155915971479598","0.9155915971479598"
"84000000","83","83","83","0.905992756429515","0.905992756429515","0.905992756429515"
"85000000","84","84","84","0.9129265443033083","0.9129265443033083","0.9129265443033083"
"86000000","85","85","85","0.916154492380631","0.916154492380631","0.916154492380631"
"87000000","86","86","86","0.9109484140554646","0.9109484140554646","0.9109484140554646"
"88000000","87","87","87","0.9186268999513629","0.9186268999513629","0.9186268999513629"
"89000000","88","88","88","0.9169101904279391","0.9169101904279391","0.9169101904279391"
"90000000","89","89","89","0.9187730384073137","0.9187730384073137","0.9187730384073137"
"91000000","90","90","90","0.9160145703227018","0.9160145703227018","0.9160145703227018"
"92000000","91","91","91","0.9190957046026478","0.9190957046026478","0.9190957046026478"
"93000000","92","92","92","0.9111868882968869","0.9111868882968869","0.9111868882968869"
"94000000","93","93","93","0.9174817813093579","0.9174817813093579","0.9174817813093579"
"95000000","94","94","94","0.9221468665977622","0.9221468665977622","0.9221468665977622"
"96000000","95","95","95","0.9162560782918823","0.9162560782918823","0.9162560782918823"
"97000000","96","96","96","0.9140858330178204","0.9140858330178204","0.9140858330178204"
"98000000","97","97","97","0.9116316891102391","0.9116316891102391","0.9116316891102391"
"99000000","98","98","98","0.9237647661578092","0.9237647661578092","0.9237647661578092"
"100000000","99","99","99","0.918826204243066","0.918826204243066","0.918826204243066"
