"custom_step","devoted-fog-184 - _step","devoted-fog-184 - _step__MIN","devoted-fog-184 - _step__MAX","devoted-fog-184 - train_metrics/Usefulness","devoted-fog-184 - train_metrics/Usefulness__MIN","devoted-fog-184 - train_metrics/Usefulness__MAX"
"80000000","79","79","79","0.9090013858197294","0.9090013858197294","0.9090013858197294"
"81000000","80","80","80","0.9063685322923501","0.9063685322923501","0.9063685322923501"
"82000000","81","81","81","0.9085104305351954","0.9085104305351954","0.9085104305351954"
"83000000","82","82","82","0.9082147942656275","0.9082147942656275","0.9082147942656275"
"84000000","83","83","83","0.9050586092215462","0.9050586092215462","0.9050586092215462"
"85000000","84","84","84","0.9159746790125662","0.9159746790125662","0.9159746790125662"
"86000000","85","85","85","0.9120197064386873","0.9120197064386873","0.9120197064386873"
"87000000","86","86","86","0.9104036278890955","0.9104036278890955","0.9104036278890955"
"88000000","87","87","87","0.9114371547092714","0.9114371547092714","0.9114371547092714"
"89000000","88","88","88","0.9104534938788017","0.9104534938788017","0.9104534938788017"
"90000000","89","89","89","0.9131964033191753","0.9131964033191753","0.9131964033191753"
"91000000","90","90","90","0.9124000717763437","0.9124000717763437","0.9124000717763437"
"92000000","91","91","91","0.9092778738324413","0.9092778738324413","0.9092778738324413"
"93000000","92","92","92","0.9058783699189643","0.9058783699189643","0.9058783699189643"
"94000000","93","93","93","0.9167928578298481","0.9167928578298481","0.9167928578298481"
"95000000","94","94","94","0.9148683253348056","0.9148683253348056","0.9148683253348056"
"96000000","95","95","95","0.9116150746952882","0.9116150746952882","0.9116150746952882"
"97000000","96","96","96","0.9185968797153545","0.9185968797153545","0.9185968797153545"
"98000000","97","97","97","0.9182851996557188","0.9182851996557188","0.9182851996557188"
"99000000","98","98","98","0.9079454600883673","0.9079454600883673","0.9079454600883673"
"100000000","99","99","99","0.9124059966798573","0.9124059966798573","0.9124059966798573"
