"custom_step","devoted-fog-184 - _step","devoted-fog-184 - _step__MIN","devoted-fog-184 - _step__MAX","devoted-fog-184 - train_metrics/Usefulness","devoted-fog-184 - train_metrics/Usefulness__MIN","devoted-fog-184 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.4294575651742739","0.4294575651742739","0.4294575651742739"
"2000000","1","1","1","0.49005278856484963","0.49005278856484963","0.49005278856484963"
"3000000","2","2","2","0.5265305700828965","0.5265305700828965","0.5265305700828965"
"4000000","3","3","3","0.5475329751401198","0.5475329751401198","0.5475329751401198"
"5000000","4","4","4","0.5832313656628926","0.5832313656628926","0.5832313656628926"
"6000000","5","5","5","0.6102400900281572","0.6102400900281572","0.6102400900281572"
"7000000","6","6","6","0.6490257741646921","0.6490257741646921","0.6490257741646921"
"8000000","7","7","7","0.658988452557777","0.658988452557777","0.658988452557777"
"9000000","8","8","8","0.6756244355747819","0.6756244355747819","0.6756244355747819"
"10000000","9","9","9","0.702088793663379","0.702088793663379","0.702088793663379"
"11000000","10","10","10","0.701369032062408","0.701369032062408","0.701369032062408"
"12000000","11","11","11","0.7205665764057406","0.7205665764057406","0.7205665764057406"
"13000000","12","12","12","0.734369637748534","0.734369637748534","0.734369637748534"
"14000000","13","13","13","0.7290837784502407","0.7290837784502407","0.7290837784502407"
"15000000","14","14","14","0.7820404085892723","0.7820404085892723","0.7820404085892723"
"16000000","15","15","15","0.7621491842259417","0.7621491842259417","0.7621491842259417"
"17000000","16","16","16","0.7664059481675353","0.7664059481675353","0.7664059481675353"
"18000000","17","17","17","0.7751320850554814","0.7751320850554814","0.7751320850554814"
"19000000","18","18","18","0.7821084996900559","0.7821084996900559","0.7821084996900559"
"20000000","19","19","19","0.8069586726360278","0.8069586726360278","0.8069586726360278"
"21000000","20","20","20","0.8317433809893037","0.8317433809893037","0.8317433809893037"
"22000000","21","21","21","0.8267229138920761","0.8267229138920761","0.8267229138920761"
"23000000","22","22","22","0.8315185710374375","0.8315185710374375","0.8315185710374375"
"24000000","23","23","23","0.8361518938275144","0.8361518938275144","0.8361518938275144"
"25000000","24","24","24","0.8338814842445634","0.8338814842445634","0.8338814842445634"
"26000000","25","25","25","0.8433244477476517","0.8433244477476517","0.8433244477476517"
"27000000","26","26","26","0.8447840148607062","0.8447840148607062","0.8447840148607062"
"28000000","27","27","27","0.8596341495392832","0.8596341495392832","0.8596341495392832"
"29000000","28","28","28","0.8434732706898044","0.8434732706898044","0.8434732706898044"
"30000000","29","29","29","0.8283606950059241","0.8283606950059241","0.8283606950059241"
"31000000","30","30","30","0.8446846020095983","0.8446846020095983","0.8446846020095983"
"32000000","31","31","31","0.8596523633675728","0.8596523633675728","0.8596523633675728"
"33000000","32","32","32","0.8566147503263801","0.8566147503263801","0.8566147503263801"
"34000000","33","33","33","0.8562679153374119","0.8562679153374119","0.8562679153374119"
"35000000","34","34","34","0.8626288092014889","0.8626288092014889","0.8626288092014889"
"36000000","35","35","35","0.8676407920464381","0.8676407920464381","0.8676407920464381"
"37000000","36","36","36","0.8645369180700772","0.8645369180700772","0.8645369180700772"
"38000000","37","37","37","0.8680826518838457","0.8680826518838457","0.8680826518838457"
"39000000","38","38","38","0.8761480890938784","0.8761480890938784","0.8761480890938784"
"40000000","39","39","39","0.8672874116861209","0.8672874116861209","0.8672874116861209"
