"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Weighted_Average73","lively-sky-199 - train_metrics/Weighted_Average73__MIN","lively-sky-199 - train_metrics/Weighted_Average73__MAX"
"27000000","26","26","26","0.8001767866612534","0.8001767866612534","0.8001767866612534"
"28000000","27","27","27","0.8196697353431774","0.8196697353431774","0.8196697353431774"
"29000000","28","28","28","0.8160328301941079","0.8160328301941079","0.8160328301941079"
"30000000","29","29","29","0.8262677819070595","0.8262677819070595","0.8262677819070595"
"31000000","30","30","30","0.8185489359104826","0.8185489359104826","0.8185489359104826"
"32000000","31","31","31","0.8294838023668247","0.8294838023668247","0.8294838023668247"
"33000000","32","32","32","0.837111695881726","0.837111695881726","0.837111695881726"
"34000000","33","33","33","0.8463546175886925","0.8463546175886925","0.8463546175886925"
"35000000","34","34","34","0.8442081803714285","0.8442081803714285","0.8442081803714285"
"36000000","35","35","35","0.828280309164856","0.828280309164856","0.828280309164856"
"37000000","36","36","36","0.8374127888763369","0.8374127888763369","0.8374127888763369"
"38000000","37","37","37","0.8381078333226409","0.8381078333226409","0.8381078333226409"
"39000000","38","38","38","0.8537435521180549","0.8537435521180549","0.8537435521180549"
"40000000","39","39","39","0.8169028601873058","0.8169028601873058","0.8169028601873058"
"41000000","40","40","40","0.8339703235937568","0.8339703235937568","0.8339703235937568"
"42000000","41","41","41","0.8469580406191577","0.8469580406191577","0.8469580406191577"
"43000000","42","42","42","0.8536644613049401","0.8536644613049401","0.8536644613049401"
"44000000","43","43","43","0.8491744222792594","0.8491744222792594","0.8491744222792594"
"45000000","44","44","44","0.8470782679261195","0.8470782679261195","0.8470782679261195"
"46000000","45","45","45","0.8614942885043466","0.8614942885043466","0.8614942885043466"
"47000000","46","46","46","0.8629286538511711","0.8629286538511711","0.8629286538511711"
"48000000","47","47","47","0.8628607555162823","0.8628607555162823","0.8628607555162823"
"49000000","48","48","48","0.8500450628747918","0.8500450628747918","0.8500450628747918"
"50000000","49","49","49","0.8615476994755468","0.8615476994755468","0.8615476994755468"
"51000000","50","50","50","0.8656651262825487","0.8656651262825487","0.8656651262825487"
"52000000","51","51","51","0.8573813388105884","0.8573813388105884","0.8573813388105884"
