"custom_step","true-sea-198 - _step","true-sea-198 - _step__MIN","true-sea-198 - _step__MAX","true-sea-198 - train_metrics/Weighted_Average73","true-sea-198 - train_metrics/Weighted_Average73__MIN","true-sea-198 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.46725759322912136","0.46725759322912136","0.46725759322912136"
"2000000","1","1","1","0.47612407175201277","0.47612407175201277","0.47612407175201277"
"3000000","2","2","2","0.533090583121887","0.533090583121887","0.533090583121887"
"4000000","3","3","3","0.5470828976602113","0.5470828976602113","0.5470828976602113"
"5000000","4","4","4","0.5860330443939876","0.5860330443939876","0.5860330443939876"
"6000000","5","5","5","0.6220598417039294","0.6220598417039294","0.6220598417039294"
"7000000","6","6","6","0.6254019366202419","0.6254019366202419","0.6254019366202419"
"8000000","7","7","7","0.6584644452488532","0.6584644452488532","0.6584644452488532"
"9000000","8","8","8","0.6954825987629021","0.6954825987629021","0.6954825987629021"
"10000000","9","9","9","0.6780092011937472","0.6780092011937472","0.6780092011937472"
"11000000","10","10","10","0.7124935316196505","0.7124935316196505","0.7124935316196505"
"12000000","11","11","11","0.6880495676680927","0.6880495676680927","0.6880495676680927"
"13000000","12","12","12","0.7058269269615974","0.7058269269615974","0.7058269269615974"
"14000000","13","13","13","0.7296681209184096","0.7296681209184096","0.7296681209184096"
"15000000","14","14","14","0.7156454664700017","0.7156454664700017","0.7156454664700017"
"16000000","15","15","15","0.7337622901866998","0.7337622901866998","0.7337622901866998"
"17000000","16","16","16","0.7382172699382211","0.7382172699382211","0.7382172699382211"
"18000000","17","17","17","0.7594036274444891","0.7594036274444891","0.7594036274444891"
"19000000","18","18","18","0.7727438202323286","0.7727438202323286","0.7727438202323286"
"20000000","19","19","19","0.7740463863305656","0.7740463863305656","0.7740463863305656"
"21000000","20","20","20","0.7784168522576022","0.7784168522576022","0.7784168522576022"
"22000000","21","21","21","0.7801000935724373","0.7801000935724373","0.7801000935724373"
"23000000","22","22","22","0.7965642453445545","0.7965642453445545","0.7965642453445545"
"24000000","23","23","23","0.8061807167278148","0.8061807167278148","0.8061807167278148"
"25000000","24","24","24","0.7699726507762915","0.7699726507762915","0.7699726507762915"
"26000000","25","25","25","0.8073803985408157","0.8073803985408157","0.8073803985408157"
"27000000","26","26","26","0.8114378792928324","0.8114378792928324","0.8114378792928324"
"28000000","27","27","27","0.8038864596335451","0.8038864596335451","0.8038864596335451"
"29000000","28","28","28","0.8215258838989914","0.8215258838989914","0.8215258838989914"
"30000000","29","29","29","0.8270098787167832","0.8270098787167832","0.8270098787167832"
"31000000","30","30","30","0.8320776812531233","0.8320776812531233","0.8320776812531233"
"32000000","31","31","31","0.820514125595454","0.820514125595454","0.820514125595454"
"33000000","32","32","32","0.8192845037395875","0.8192845037395875","0.8192845037395875"
"34000000","33","33","33","0.8192688369344945","0.8192688369344945","0.8192688369344945"
"35000000","34","34","34","0.819118047336217","0.819118047336217","0.819118047336217"
"36000000","35","35","35","0.8377312214666096","0.8377312214666096","0.8377312214666096"
"37000000","36","36","36","0.8403593222044345","0.8403593222044345","0.8403593222044345"
"38000000","37","37","37","0.8351287303731207","0.8351287303731207","0.8351287303731207"
"39000000","38","38","38","0.8578671280533837","0.8578671280533837","0.8578671280533837"
"40000000","39","39","39","0.861217107635134","0.861217107635134","0.861217107635134"
"41000000","40","40","40","0.840931501084753","0.840931501084753","0.840931501084753"
"42000000","41","41","41","0.8430980603329256","0.8430980603329256","0.8430980603329256"
"43000000","42","42","42","0.8582262342199618","0.8582262342199618","0.8582262342199618"
"44000000","43","43","43","0.8477099679947275","0.8477099679947275","0.8477099679947275"
"45000000","44","44","44","0.8562987656886697","0.8562987656886697","0.8562987656886697"
"46000000","45","45","45","0.8539093355754208","0.8539093355754208","0.8539093355754208"
"47000000","46","46","46","0.8671377611385622","0.8671377611385622","0.8671377611385622"
"48000000","47","47","47","0.8722383835744154","0.8722383835744154","0.8722383835744154"
