"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Weighted_Average73","splendid-dragon-200 - train_metrics/Weighted_Average73__MIN","splendid-dragon-200 - train_metrics/Weighted_Average73__MAX"
"74000000","73","73","73","0.8802276675661884","0.8802276675661884","0.8802276675661884"
"75000000","74","74","74","0.8959385714226673","0.8959385714226673","0.8959385714226673"
"76000000","75","75","75","0.8849735842601686","0.8849735842601686","0.8849735842601686"
"77000000","76","76","76","0.8895220673089789","0.8895220673089789","0.8895220673089789"
"78000000","77","77","77","0.8883366950878933","0.8883366950878933","0.8883366950878933"
"79000000","78","78","78","0.8825208213305611","0.8825208213305611","0.8825208213305611"
"80000000","79","79","79","0.8882261552046071","0.8882261552046071","0.8882261552046071"
"81000000","80","80","80","0.8859243478136299","0.8859243478136299","0.8859243478136299"
"82000000","81","81","81","0.8876453323017433","0.8876453323017433","0.8876453323017433"
"83000000","82","82","82","0.8919810757847031","0.8919810757847031","0.8919810757847031"
"84000000","83","83","83","0.881316534330453","0.881316534330453","0.881316534330453"
"85000000","84","84","84","0.886249305116736","0.886249305116736","0.886249305116736"
"86000000","85","85","85","0.8898399375052075","0.8898399375052075","0.8898399375052075"
"87000000","86","86","86","0.8860651870103977","0.8860651870103977","0.8860651870103977"
"88000000","87","87","87","0.8877623456622179","0.8877623456622179","0.8877623456622179"
"89000000","88","88","88","0.8890456256296003","0.8890456256296003","0.8890456256296003"
"90000000","89","89","89","0.8915854322140371","0.8915854322140371","0.8915854322140371"
"91000000","90","90","90","0.8787946333959442","0.8787946333959442","0.8787946333959442"
"92000000","91","91","91","0.8967916390892264","0.8967916390892264","0.8967916390892264"
"93000000","92","92","92","0.8964922959754267","0.8964922959754267","0.8964922959754267"
"94000000","93","93","93","0.8932379175233316","0.8932379175233316","0.8932379175233316"
"95000000","94","94","94","0.8919056168183995","0.8919056168183995","0.8919056168183995"
"96000000","95","95","95","0.8966338970481171","0.8966338970481171","0.8966338970481171"
"97000000","96","96","96","0.8902039505634378","0.8902039505634378","0.8902039505634378"
"98000000","97","97","97","0.9018596035338626","0.9018596035338626","0.9018596035338626"
"99000000","98","98","98","0.8923936433009705","0.8923936433009705","0.8923936433009705"
"100000000","99","99","99","0.8903741170969806","0.8903741170969806","0.8903741170969806"
