"custom_step","likely-oath-197 - _step","likely-oath-197 - _step__MIN","likely-oath-197 - _step__MAX","likely-oath-197 - train_metrics/Weighted_Average73","likely-oath-197 - train_metrics/Weighted_Average73__MIN","likely-oath-197 - train_metrics/Weighted_Average73__MAX"
"1000000","0","0","0","0.4173911067019316","0.4173911067019316","0.4173911067019316"
"2000000","1","1","1","0.46852800027121916","0.46852800027121916","0.46852800027121916"
"3000000","2","2","2","0.5447406386399775","0.5447406386399775","0.5447406386399775"
"4000000","3","3","3","0.5690583040248598","0.5690583040248598","0.5690583040248598"
"5000000","4","4","4","0.5824010981684453","0.5824010981684453","0.5824010981684453"
"6000000","5","5","5","0.608511457226635","0.608511457226635","0.608511457226635"
"7000000","6","6","6","0.654766400466116","0.654766400466116","0.654766400466116"
"8000000","7","7","7","0.6833601948502562","0.6833601948502562","0.6833601948502562"
"9000000","8","8","8","0.6760139218208325","0.6760139218208325","0.6760139218208325"
"10000000","9","9","9","0.6898733385582173","0.6898733385582173","0.6898733385582173"
"11000000","10","10","10","0.6991007498721197","0.6991007498721197","0.6991007498721197"
"12000000","11","11","11","0.7110794543665152","0.7110794543665152","0.7110794543665152"
"13000000","12","12","12","0.7273611335192183","0.7273611335192183","0.7273611335192183"
"14000000","13","13","13","0.7498548716038568","0.7498548716038568","0.7498548716038568"
"15000000","14","14","14","0.7384199268851217","0.7384199268851217","0.7384199268851217"
"16000000","15","15","15","0.7484011849970424","0.7484011849970424","0.7484011849970424"
"17000000","16","16","16","0.7342829222423085","0.7342829222423085","0.7342829222423085"
"18000000","17","17","17","0.7673331438095725","0.7673331438095725","0.7673331438095725"
"19000000","18","18","18","0.7728792901388433","0.7728792901388433","0.7728792901388433"
"20000000","19","19","19","0.7643444416089552","0.7643444416089552","0.7643444416089552"
"21000000","20","20","20","0.7733547095562328","0.7733547095562328","0.7733547095562328"
"22000000","21","21","21","0.7911692325950137","0.7911692325950137","0.7911692325950137"
"23000000","22","22","22","0.7967076274126622","0.7967076274126622","0.7967076274126622"
"24000000","23","23","23","0.8174566100272216","0.8174566100272216","0.8174566100272216"
"25000000","24","24","24","0.7942855672054007","0.7942855672054007","0.7942855672054007"
"26000000","25","25","25","0.8182046753096143","0.8182046753096143","0.8182046753096143"
"27000000","26","26","26","0.8047941518345638","0.8047941518345638","0.8047941518345638"
"28000000","27","27","27","0.8032385902327694","0.8032385902327694","0.8032385902327694"
"29000000","28","28","28","0.8116264557995525","0.8116264557995525","0.8116264557995525"
"30000000","29","29","29","0.8100467131125495","0.8100467131125495","0.8100467131125495"
"31000000","30","30","30","0.8229221193388159","0.8229221193388159","0.8229221193388159"
"32000000","31","31","31","0.821149970385353","0.821149970385353","0.821149970385353"
"33000000","32","32","32","0.829617681363717","0.829617681363717","0.829617681363717"
"34000000","33","33","33","0.8408411981874631","0.8408411981874631","0.8408411981874631"
"35000000","34","34","34","0.838288262868628","0.838288262868628","0.838288262868628"
"36000000","35","35","35","0.8318223980406749","0.8318223980406749","0.8318223980406749"
"37000000","36","36","36","0.8440109724290403","0.8440109724290403","0.8440109724290403"
"38000000","37","37","37","0.8404259488047257","0.8404259488047257","0.8404259488047257"
"39000000","38","38","38","0.8422941123346303","0.8422941123346303","0.8422941123346303"
"40000000","39","39","39","0.8443115903699963","0.8443115903699963","0.8443115903699963"
"41000000","40","40","40","0.8461875943148482","0.8461875943148482","0.8461875943148482"
"42000000","41","41","41","0.8558789997032563","0.8558789997032563","0.8558789997032563"
"43000000","42","42","42","0.846565315365931","0.846565315365931","0.846565315365931"
"44000000","43","43","43","0.8342492474482797","0.8342492474482797","0.8342492474482797"
"45000000","44","44","44","0.8483055034083258","0.8483055034083258","0.8483055034083258"
"46000000","45","45","45","0.8480315403902677","0.8480315403902677","0.8480315403902677"
"47000000","46","46","46","0.8502584248328042","0.8502584248328042","0.8502584248328042"
"48000000","47","47","47","0.8506155724020361","0.8506155724020361","0.8506155724020361"
"49000000","48","48","48","0.8649567643521793","0.8649567643521793","0.8649567643521793"
"50000000","49","49","49","0.8704543434706671","0.8704543434706671","0.8704543434706671"
"51000000","50","50","50","0.8622932019389653","0.8622932019389653","0.8622932019389653"
"52000000","51","51","51","0.8615990896596984","0.8615990896596984","0.8615990896596984"
"53000000","52","52","52","0.859211684838133","0.859211684838133","0.859211684838133"
"54000000","53","53","53","0.8666469680100073","0.8666469680100073","0.8666469680100073"
"55000000","54","54","54","0.8650691415337978","0.8650691415337978","0.8650691415337978"
"56000000","55","55","55","0.8690954839603033","0.8690954839603033","0.8690954839603033"
"57000000","56","56","56","0.8655765112591003","0.8655765112591003","0.8655765112591003"
"58000000","57","57","57","0.8624153173437431","0.8624153173437431","0.8624153173437431"
"59000000","58","58","58","0.8743085982841896","0.8743085982841896","0.8743085982841896"
"60000000","59","59","59","0.8683033752299145","0.8683033752299145","0.8683033752299145"
"61000000","60","60","60","0.8737423771889973","0.8737423771889973","0.8737423771889973"
"62000000","61","61","61","0.843021282858406","0.843021282858406","0.843021282858406"
"63000000","62","62","62","0.8609410352834195","0.8609410352834195","0.8609410352834195"
"64000000","63","63","63","0.875406902164102","0.875406902164102","0.875406902164102"
"65000000","64","64","64","0.8659820519369054","0.8659820519369054","0.8659820519369054"
"66000000","65","65","65","0.8793694278929967","0.8793694278929967","0.8793694278929967"
"67000000","66","66","66","0.8843187350207091","0.8843187350207091","0.8843187350207091"
"68000000","67","67","67","0.8761530512065112","0.8761530512065112","0.8761530512065112"
"69000000","68","68","68","0.8895230534958253","0.8895230534958253","0.8895230534958253"
"70000000","69","69","69","0.8835518005991151","0.8835518005991151","0.8835518005991151"
"71000000","70","70","70","0.8657191786660601","0.8657191786660601","0.8657191786660601"
"72000000","71","71","71","0.8883841735403027","0.8883841735403027","0.8883841735403027"
"73000000","72","72","72","0.8763348508014155","0.8763348508014155","0.8763348508014155"
"74000000","73","73","73","0.8762913578195257","0.8762913578195257","0.8762913578195257"
"75000000","74","74","74","0.8863574549059945","0.8863574549059945","0.8863574549059945"
"76000000","75","75","75","0.8841501237640282","0.8841501237640282","0.8841501237640282"
"77000000","76","76","76","0.8811790457335803","0.8811790457335803","0.8811790457335803"
"78000000","77","77","77","0.8894052906318667","0.8894052906318667","0.8894052906318667"
"79000000","78","78","78","0.8757957266517168","0.8757957266517168","0.8757957266517168"
"80000000","79","79","79","0.8799838208876889","0.8799838208876889","0.8799838208876889"
"81000000","80","80","80","0.8913916057859921","0.8913916057859921","0.8913916057859921"
"82000000","81","81","81","0.8911206986313157","0.8911206986313157","0.8911206986313157"
"83000000","82","82","82","0.8918088200645191","0.8918088200645191","0.8918088200645191"
"84000000","83","83","83","0.8747996727554591","0.8747996727554591","0.8747996727554591"
"85000000","84","84","84","0.8868566286606815","0.8868566286606815","0.8868566286606815"
"86000000","85","85","85","0.8898905676724276","0.8898905676724276","0.8898905676724276"
"87000000","86","86","86","0.8843948579652005","0.8843948579652005","0.8843948579652005"
"88000000","87","87","87","0.8931760396291084","0.8931760396291084","0.8931760396291084"
"89000000","88","88","88","0.8853673951683856","0.8853673951683856","0.8853673951683856"
"90000000","89","89","89","0.8954820096475111","0.8954820096475111","0.8954820096475111"
"91000000","90","90","90","0.8908790324209641","0.8908790324209641","0.8908790324209641"
"92000000","91","91","91","0.8927264252514469","0.8927264252514469","0.8927264252514469"
"93000000","92","92","92","0.8835980180425151","0.8835980180425151","0.8835980180425151"
"94000000","93","93","93","0.8922208347165015","0.8922208347165015","0.8922208347165015"
"95000000","94","94","94","0.9004157836795933","0.9004157836795933","0.9004157836795933"
