"custom_step","crimson-durian-196 - _step","crimson-durian-196 - _step__MIN","crimson-durian-196 - _step__MAX","crimson-durian-196 - train_metrics/Usefulness","crimson-durian-196 - train_metrics/Usefulness__MIN","crimson-durian-196 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.6248652969156195","0.6248652969156195","0.6248652969156195"
"2000000","1","1","1","0.8154886597350043","0.8154886597350043","0.8154886597350043"
"3000000","2","2","2","0.8812456041041445","0.8812456041041445","0.8812456041041445"
"4000000","3","3","3","0.8929433019343013","0.8929433019343013","0.8929433019343013"
"5000000","4","4","4","0.904283280404149","0.904283280404149","0.904283280404149"
"6000000","5","5","5","0.8938289723784788","0.8938289723784788","0.8938289723784788"
"7000000","6","6","6","0.9161846480630517","0.9161846480630517","0.9161846480630517"
"8000000","7","7","7","0.9143008690789587","0.9143008690789587","0.9143008690789587"
"9000000","8","8","8","0.9025958175402389","0.9025958175402389","0.9025958175402389"
"10000000","9","9","9","0.8953259377490489","0.8953259377490489","0.8953259377490489"
"11000000","10","10","10","0.8877070363183701","0.8877070363183701","0.8877070363183701"
"12000000","11","11","11","0.9201060542039283","0.9201060542039283","0.9201060542039283"
"13000000","12","12","12","0.9276003806915125","0.9276003806915125","0.9276003806915125"
"14000000","13","13","13","0.9092192384045892","0.9092192384045892","0.9092192384045892"
"15000000","14","14","14","0.8992678981355946","0.8992678981355946","0.8992678981355946"
"16000000","15","15","15","0.8573521685179157","0.8573521685179157","0.8573521685179157"
"17000000","16","16","16","0.9029428328798198","0.9029428328798198","0.9029428328798198"
"18000000","17","17","17","0.8981549759217883","0.8981549759217883","0.8981549759217883"
"19000000","18","18","18","0.9003706895091459","0.9003706895091459","0.9003706895091459"
"20000000","19","19","19","0.9078900796921897","0.9078900796921897","0.9078900796921897"
"21000000","20","20","20","0.915676844016192","0.915676844016192","0.915676844016192"
"22000000","21","21","21","0.9163656995965301","0.9163656995965301","0.9163656995965301"
"23000000","22","22","22","0.9004224859378036","0.9004224859378036","0.9004224859378036"
"24000000","23","23","23","0.8958184990782341","0.8958184990782341","0.8958184990782341"
"25000000","24","24","24","0.8953034493704195","0.8953034493704195","0.8953034493704195"
"26000000","25","25","25","0.9081824336365073","0.9081824336365073","0.9081824336365073"
"27000000","26","26","26","0.9000540700725261","0.9000540700725261","0.9000540700725261"
"28000000","27","27","27","0.8985805172461391","0.8985805172461391","0.8985805172461391"
"29000000","28","28","28","0.9140843056507638","0.9140843056507638","0.9140843056507638"
"30000000","29","29","29","0.9177443097187936","0.9177443097187936","0.9177443097187936"
"31000000","30","30","30","0.9285586482821926","0.9285586482821926","0.9285586482821926"
"32000000","31","31","31","0.9087466620498802","0.9087466620498802","0.9087466620498802"
"33000000","32","32","32","0.8949745171781347","0.8949745171781347","0.8949745171781347"
"34000000","33","33","33","0.9081634937640433","0.9081634937640433","0.9081634937640433"
"35000000","34","34","34","0.9120057078799748","0.9120057078799748","0.9120057078799748"
