"custom_step","vocal-oath-194 - _step","vocal-oath-194 - _step__MIN","vocal-oath-194 - _step__MAX","vocal-oath-194 - train_metrics/Usefulness","vocal-oath-194 - train_metrics/Usefulness__MIN","vocal-oath-194 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.6035412247024737","0.6035412247024737","0.6035412247024737"
"2000000","1","1","1","0.7743682185895102","0.7743682185895102","0.7743682185895102"
"3000000","2","2","2","0.8586927546328534","0.8586927546328534","0.8586927546328534"
"4000000","3","3","3","0.9080313046434518","0.9080313046434518","0.9080313046434518"
"5000000","4","4","4","0.8724001597938419","0.8724001597938419","0.8724001597938419"
"6000000","5","5","5","0.89961918717744","0.89961918717744","0.89961918717744"
"7000000","6","6","6","0.8881809249195316","0.8881809249195316","0.8881809249195316"
"8000000","7","7","7","0.9130417678386983","0.9130417678386983","0.9130417678386983"
"9000000","8","8","8","0.8471715798114242","0.8471715798114242","0.8471715798114242"
"10000000","9","9","9","0.9055552321999426","0.9055552321999426","0.9055552321999426"
"11000000","10","10","10","0.8913927958047921","0.8913927958047921","0.8913927958047921"
"12000000","11","11","11","0.8959129760163445","0.8959129760163445","0.8959129760163445"
"13000000","12","12","12","0.812078284322823","0.812078284322823","0.812078284322823"
"14000000","13","13","13","0.8951845066442983","0.8951845066442983","0.8951845066442983"
"15000000","14","14","14","0.8991599016230369","0.8991599016230369","0.8991599016230369"
"16000000","15","15","15","0.9096304546874543","0.9096304546874543","0.9096304546874543"
"17000000","16","16","16","0.8995934228231315","0.8995934228231315","0.8995934228231315"
"18000000","17","17","17","0.8927527208023602","0.8927527208023602","0.8927527208023602"
"19000000","18","18","18","0.8945285240594824","0.8945285240594824","0.8945285240594824"
"20000000","19","19","19","0.9131460649393786","0.9131460649393786","0.9131460649393786"
"21000000","20","20","20","0.9031636116892718","0.9031636116892718","0.9031636116892718"
"22000000","21","21","21","0.9140037331348039","0.9140037331348039","0.9140037331348039"
"23000000","22","22","22","0.9027237848368148","0.9027237848368148","0.9027237848368148"
"24000000","23","23","23","0.8981073143451155","0.8981073143451155","0.8981073143451155"
"25000000","24","24","24","0.8792972453427371","0.8792972453427371","0.8792972453427371"
"26000000","25","25","25","0.8927868796276716","0.8927868796276716","0.8927868796276716"
"27000000","26","26","26","0.9008180474384615","0.9008180474384615","0.9008180474384615"
"28000000","27","27","27","0.8937524170999167","0.8937524170999167","0.8937524170999167"
"29000000","28","28","28","0.8982854916229575","0.8982854916229575","0.8982854916229575"
"30000000","29","29","29","0.8765323888275729","0.8765323888275729","0.8765323888275729"
"31000000","30","30","30","0.8937832581884506","0.8937832581884506","0.8937832581884506"
"32000000","31","31","31","0.8785277836145532","0.8785277836145532","0.8785277836145532"
"33000000","32","32","32","0.8753630880256273","0.8753630880256273","0.8753630880256273"
"34000000","33","33","33","0.8896857680769411","0.8896857680769411","0.8896857680769411"
"35000000","34","34","34","0.8953700898756779","0.8953700898756779","0.8953700898756779"
"36000000","35","35","35","0.8764633078207854","0.8764633078207854","0.8764633078207854"
"37000000","36","36","36","0.9011796323927115","0.9011796323927115","0.9011796323927115"
"38000000","37","37","37","0.9038392704429781","0.9038392704429781","0.9038392704429781"
"39000000","38","38","38","0.9005804250912637","0.9005804250912637","0.9005804250912637"
"40000000","39","39","39","0.9053686370444654","0.9053686370444654","0.9053686370444654"
"41000000","40","40","40","0.8987219043674805","0.8987219043674805","0.8987219043674805"
"42000000","41","41","41","0.898900831929087","0.898900831929087","0.898900831929087"
"43000000","42","42","42","0.8840318321666945","0.8840318321666945","0.8840318321666945"
