"custom_step","vocal-oath-194 - _step","vocal-oath-194 - _step__MIN","vocal-oath-194 - _step__MAX","vocal-oath-194 - train_metrics/Usefulness","vocal-oath-194 - train_metrics/Usefulness__MIN","vocal-oath-194 - train_metrics/Usefulness__MAX"
"44000000","43","43","43","0.9034488586361462","0.9034488586361462","0.9034488586361462"
"45000000","44","44","44","0.8949374846427571","0.8949374846427571","0.8949374846427571"
"46000000","45","45","45","0.8958334402810988","0.8958334402810988","0.8958334402810988"
"47000000","46","46","46","0.8944394024961294","0.8944394024961294","0.8944394024961294"
"48000000","47","47","47","0.8976064360002903","0.8976064360002903","0.8976064360002903"
"49000000","48","48","48","0.8920726144366286","0.8920726144366286","0.8920726144366286"
"50000000","49","49","49","0.9088626678929212","0.9088626678929212","0.9088626678929212"
"51000000","50","50","50","0.8986346332635947","0.8986346332635947","0.8986346332635947"
"52000000","51","51","51","0.9093212143194698","0.9093212143194698","0.9093212143194698"
"53000000","52","52","52","0.9149066781914672","0.9149066781914672","0.9149066781914672"
"54000000","53","53","53","0.9113123943479285","0.9113123943479285","0.9113123943479285"
"55000000","54","54","54","0.9114012284149566","0.9114012284149566","0.9114012284149566"
"56000000","55","55","55","0.9029285607801515","0.9029285607801515","0.9029285607801515"
"57000000","56","56","56","0.9070849657580513","0.9070849657580513","0.9070849657580513"
"58000000","57","57","57","0.9029116853113378","0.9029116853113378","0.9029116853113378"
"59000000","58","58","58","0.9115484767739758","0.9115484767739758","0.9115484767739758"
"60000000","59","59","59","0.8813632804225202","0.8813632804225202","0.8813632804225202"
"61000000","60","60","60","0.9136195109494353","0.9136195109494353","0.9136195109494353"
"62000000","61","61","61","0.9091491969536726","0.9091491969536726","0.9091491969536726"
"63000000","62","62","62","0.8795898115209042","0.8795898115209042","0.8795898115209042"
"64000000","63","63","63","0.8992433315023952","0.8992433315023952","0.8992433315023952"
"65000000","64","64","64","0.9010315789672781","0.9010315789672781","0.9010315789672781"
"66000000","65","65","65","0.8953330677638964","0.8953330677638964","0.8953330677638964"
"67000000","66","66","66","0.9156911871079033","0.9156911871079033","0.9156911871079033"
"68000000","67","67","67","0.9053416667860937","0.9053416667860937","0.9053416667860937"
"69000000","68","68","68","0.877846259127109","0.877846259127109","0.877846259127109"
"70000000","69","69","69","0.9117227624871378","0.9117227624871378","0.9117227624871378"
"71000000","70","70","70","0.8908212567469533","0.8908212567469533","0.8908212567469533"
"72000000","71","71","71","0.9079914316552621","0.9079914316552621","0.9079914316552621"
"73000000","72","72","72","0.9019645914284082","0.9019645914284082","0.9019645914284082"
"74000000","73","73","73","0.8932907525577454","0.8932907525577454","0.8932907525577454"
"75000000","74","74","74","0.9006092942988315","0.9006092942988315","0.9006092942988315"
"76000000","75","75","75","0.8958835234785159","0.8958835234785159","0.8958835234785159"
"77000000","76","76","76","0.8945474161939629","0.8945474161939629","0.8945474161939629"
"78000000","77","77","77","0.89196099921423","0.89196099921423","0.89196099921423"
"79000000","78","78","78","0.8921306091012171","0.8921306091012171","0.8921306091012171"
"80000000","79","79","79","0.9082152909285824","0.9082152909285824","0.9082152909285824"
"81000000","80","80","80","0.9059285202191554","0.9059285202191554","0.9059285202191554"
"82000000","81","81","81","0.8927969592856692","0.8927969592856692","0.8927969592856692"
"83000000","82","82","82","0.8926522037387069","0.8926522037387069","0.8926522037387069"
"84000000","83","83","83","0.8891376370430176","0.8891376370430176","0.8891376370430176"
"85000000","84","84","84","0.8965100583888542","0.8965100583888542","0.8965100583888542"
"86000000","85","85","85","0.8819458370113719","0.8819458370113719","0.8819458370113719"
"87000000","86","86","86","0.9037380382561305","0.9037380382561305","0.9037380382561305"
"88000000","87","87","87","0.893741501051802","0.893741501051802","0.893741501051802"
"89000000","88","88","88","0.893961106577224","0.893961106577224","0.893961106577224"
"90000000","89","89","89","0.888942406539264","0.888942406539264","0.888942406539264"
"91000000","90","90","90","0.8756989197526315","0.8756989197526315","0.8756989197526315"
"92000000","91","91","91","0.886384249088681","0.886384249088681","0.886384249088681"
"93000000","92","92","92","0.9045263821815269","0.9045263821815269","0.9045263821815269"
"94000000","93","93","93","0.9066574794111998","0.9066574794111998","0.9066574794111998"
"95000000","94","94","94","0.8866006892908322","0.8866006892908322","0.8866006892908322"
"96000000","95","95","95","0.8987098849860965","0.8987098849860965","0.8987098849860965"
"97000000","96","96","96","0.9170672463376685","0.9170672463376685","0.9170672463376685"
"98000000","97","97","97","0.9105446597225346","0.9105446597225346","0.9105446597225346"
"99000000","98","98","98","0.9102990992366894","0.9102990992366894","0.9102990992366894"
"100000000","99","99","99","0.9047979705832523","0.9047979705832523","0.9047979705832523"
