"custom_step","atomic-breeze-193 - _step","atomic-breeze-193 - _step__MIN","atomic-breeze-193 - _step__MAX","atomic-breeze-193 - train_metrics/Usefulness","atomic-breeze-193 - train_metrics/Usefulness__MIN","atomic-breeze-193 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.6555805578434543","0.6555805578434543","0.6555805578434543"
"2000000","1","1","1","0.8014086751057958","0.8014086751057958","0.8014086751057958"
"3000000","2","2","2","0.8413755472902389","0.8413755472902389","0.8413755472902389"
"4000000","3","3","3","0.8206418221196387","0.8206418221196387","0.8206418221196387"
"5000000","4","4","4","0.8847941537481911","0.8847941537481911","0.8847941537481911"
"6000000","5","5","5","0.8964101319756593","0.8964101319756593","0.8964101319756593"
"7000000","6","6","6","0.8920172008918374","0.8920172008918374","0.8920172008918374"
"8000000","7","7","7","0.7833188326159634","0.7833188326159634","0.7833188326159634"
"9000000","8","8","8","0.8910309629506498","0.8910309629506498","0.8910309629506498"
"10000000","9","9","9","0.8691035301604529","0.8691035301604529","0.8691035301604529"
"11000000","10","10","10","0.901006470129524","0.901006470129524","0.901006470129524"
"12000000","11","11","11","0.8527573416224538","0.8527573416224538","0.8527573416224538"
"13000000","12","12","12","0.8913504164638316","0.8913504164638316","0.8913504164638316"
"14000000","13","13","13","0.9009526416671635","0.9009526416671635","0.9009526416671635"
"15000000","14","14","14","0.9077752045589513","0.9077752045589513","0.9077752045589513"
"16000000","15","15","15","0.9011003370832911","0.9011003370832911","0.9011003370832911"
"17000000","16","16","16","0.8673452722050794","0.8673452722050794","0.8673452722050794"
"18000000","17","17","17","0.8986589575788992","0.8986589575788992","0.8986589575788992"
"19000000","18","18","18","0.9018859447499583","0.9018859447499583","0.9018859447499583"
"20000000","19","19","19","0.8339992210007103","0.8339992210007103","0.8339992210007103"
"21000000","20","20","20","0.9062680064756047","0.9062680064756047","0.9062680064756047"
"22000000","21","21","21","0.902409161568744","0.902409161568744","0.902409161568744"
"23000000","22","22","22","0.8893922728909751","0.8893922728909751","0.8893922728909751"
"24000000","23","23","23","0.9018116123186459","0.9018116123186459","0.9018116123186459"
"25000000","24","24","24","0.9017377923943561","0.9017377923943561","0.9017377923943561"
"26000000","25","25","25","0.8946957960208785","0.8946957960208785","0.8946957960208785"
"27000000","26","26","26","0.8396851720451924","0.8396851720451924","0.8396851720451924"
"28000000","27","27","27","0.8931200291838626","0.8931200291838626","0.8931200291838626"
"29000000","28","28","28","0.8992922269006557","0.8992922269006557","0.8992922269006557"
"30000000","29","29","29","0.907632044720462","0.907632044720462","0.907632044720462"
"31000000","30","30","30","0.8604463908116246","0.8604463908116246","0.8604463908116246"
"32000000","31","31","31","0.8935361784610006","0.8935361784610006","0.8935361784610006"
"33000000","32","32","32","0.8835723687009871","0.8835723687009871","0.8835723687009871"
"34000000","33","33","33","0.9000896658367066","0.9000896658367066","0.9000896658367066"
"35000000","34","34","34","0.9122788297330797","0.9122788297330797","0.9122788297330797"
"36000000","35","35","35","0.8681618364061847","0.8681618364061847","0.8681618364061847"
"37000000","36","36","36","0.8897813472640402","0.8897813472640402","0.8897813472640402"
"38000000","37","37","37","0.9035657550201256","0.9035657550201256","0.9035657550201256"
"39000000","38","38","38","0.903389404037217","0.903389404037217","0.903389404037217"
"40000000","39","39","39","0.8976632064019059","0.8976632064019059","0.8976632064019059"
"41000000","40","40","40","0.9000802326765321","0.9000802326765321","0.9000802326765321"
"42000000","41","41","41","0.9022817905302288","0.9022817905302288","0.9022817905302288"
"43000000","42","42","42","0.8930012645318488","0.8930012645318488","0.8930012645318488"
"44000000","43","43","43","0.8965563165328294","0.8965563165328294","0.8965563165328294"
