"custom_step","comic-jazz-192 - _step","comic-jazz-192 - _step__MIN","comic-jazz-192 - _step__MAX","comic-jazz-192 - train_metrics/Usefulness","comic-jazz-192 - train_metrics/Usefulness__MIN","comic-jazz-192 - train_metrics/Usefulness__MAX"
"70000000","69","69","69","0.8904289961486006","0.8904289961486006","0.8904289961486006"
"71000000","70","70","70","0.9204748422524636","0.9204748422524636","0.9204748422524636"
"72000000","71","71","71","0.920946129035237","0.920946129035237","0.920946129035237"
"73000000","72","72","72","0.9149824799396408","0.9149824799396408","0.9149824799396408"
"74000000","73","73","73","0.9086471306066062","0.9086471306066062","0.9086471306066062"
"75000000","74","74","74","0.9230699878769816","0.9230699878769816","0.9230699878769816"
"76000000","75","75","75","0.915172352494283","0.915172352494283","0.915172352494283"
"77000000","76","76","76","0.9129714839267176","0.9129714839267176","0.9129714839267176"
"78000000","77","77","77","0.9109694292347835","0.9109694292347835","0.9109694292347835"
"79000000","78","78","78","0.9226825051387971","0.9226825051387971","0.9226825051387971"
"80000000","79","79","79","0.9162393534667641","0.9162393534667641","0.9162393534667641"
"81000000","80","80","80","0.9275043715933338","0.9275043715933338","0.9275043715933338"
"82000000","81","81","81","0.9145140602445189","0.9145140602445189","0.9145140602445189"
"83000000","82","82","82","0.9094095446539812","0.9094095446539812","0.9094095446539812"
"84000000","83","83","83","0.9169138800030356","0.9169138800030356","0.9169138800030356"
"85000000","84","84","84","0.9053615126846031","0.9053615126846031","0.9053615126846031"
"86000000","85","85","85","0.9008987135568332","0.9008987135568332","0.9008987135568332"
"87000000","86","86","86","0.9159951165763168","0.9159951165763168","0.9159951165763168"
"88000000","87","87","87","0.9178497888470949","0.9178497888470949","0.9178497888470949"
"89000000","88","88","88","0.9218341133379742","0.9218341133379742","0.9218341133379742"
"90000000","89","89","89","0.9081566240190877","0.9081566240190877","0.9081566240190877"
"91000000","90","90","90","0.9212643414604822","0.9212643414604822","0.9212643414604822"
"92000000","91","91","91","0.9233662388918906","0.9233662388918906","0.9233662388918906"
"93000000","92","92","92","0.9104643476202783","0.9104643476202783","0.9104643476202783"
"94000000","93","93","93","0.9202530986590378","0.9202530986590378","0.9202530986590378"
"95000000","94","94","94","0.9191383542177309","0.9191383542177309","0.9191383542177309"
"96000000","95","95","95","0.9182133893901032","0.9182133893901032","0.9182133893901032"
"97000000","96","96","96","0.9100336346419619","0.9100336346419619","0.9100336346419619"
"98000000","97","97","97","0.9104245985549604","0.9104245985549604","0.9104245985549604"
"99000000","98","98","98","0.9105953818605309","0.9105953818605309","0.9105953818605309"
"100000000","99","99","99","0.920129952583805","0.920129952583805","0.920129952583805"
