"custom_step","comic-firefly-202 - _step","comic-firefly-202 - _step__MIN","comic-firefly-202 - _step__MAX","comic-firefly-202 - train_metrics/Usefulness","comic-firefly-202 - train_metrics/Usefulness__MIN","comic-firefly-202 - train_metrics/Usefulness__MAX"
"25000000","24","24","24","0.9192023351115203","0.9192023351115203","0.9192023351115203"
"26000000","25","25","25","0.9070325707830122","0.9070325707830122","0.9070325707830122"
"27000000","26","26","26","0.901249838529605","0.901249838529605","0.901249838529605"
"28000000","27","27","27","0.893584561744191","0.893584561744191","0.893584561744191"
"29000000","28","28","28","0.8864693724284999","0.8864693724284999","0.8864693724284999"
"30000000","29","29","29","0.9126837363613189","0.9126837363613189","0.9126837363613189"
"31000000","30","30","30","0.9065066773996455","0.9065066773996455","0.9065066773996455"
"32000000","31","31","31","0.9094002498400868","0.9094002498400868","0.9094002498400868"
"33000000","32","32","32","0.882829205354791","0.882829205354791","0.882829205354791"
"34000000","33","33","33","0.9064738359947252","0.9064738359947252","0.9064738359947252"
"35000000","34","34","34","0.9100136809743506","0.9100136809743506","0.9100136809743506"
"36000000","35","35","35","0.9145087534897979","0.9145087534897979","0.9145087534897979"
"37000000","36","36","36","0.9166056830401248","0.9166056830401248","0.9166056830401248"
"38000000","37","37","37","0.9248307337724281","0.9248307337724281","0.9248307337724281"
"39000000","38","38","38","0.9212049388535669","0.9212049388535669","0.9212049388535669"
"40000000","39","39","39","0.92519587971888","0.92519587971888","0.92519587971888"
"41000000","40","40","40","0.8569843007587328","0.8569843007587328","0.8569843007587328"
"42000000","41","41","41","0.9117324873270236","0.9117324873270236","0.9117324873270236"
"43000000","42","42","42","0.909429985948005","0.909429985948005","0.909429985948005"
"44000000","43","43","43","0.913676904721167","0.913676904721167","0.913676904721167"
"45000000","44","44","44","0.9060011470630737","0.9060011470630737","0.9060011470630737"
"46000000","45","45","45","0.9156230151883095","0.9156230151883095","0.9156230151883095"
"47000000","46","46","46","0.9283737625044263","0.9283737625044263","0.9283737625044263"
"48000000","47","47","47","0.9214526781376996","0.9214526781376996","0.9214526781376996"
"49000000","48","48","48","0.9229396570451432","0.9229396570451432","0.9229396570451432"
"50000000","49","49","49","0.8926484547048452","0.8926484547048452","0.8926484547048452"
"51000000","50","50","50","0.9066484887688494","0.9066484887688494","0.9066484887688494"
"52000000","51","51","51","0.9106090836708458","0.9106090836708458","0.9106090836708458"
"53000000","52","52","52","0.9070010599968094","0.9070010599968094","0.9070010599968094"
"54000000","53","53","53","0.9251372474467549","0.9251372474467549","0.9251372474467549"
"55000000","54","54","54","0.9049707754807333","0.9049707754807333","0.9049707754807333"
"56000000","55","55","55","0.9017001678324622","0.9017001678324622","0.9017001678324622"
"57000000","56","56","56","0.913234323503101","0.913234323503101","0.913234323503101"
"58000000","57","57","57","0.9279809190598816","0.9279809190598816","0.9279809190598816"
"59000000","58","58","58","0.9217260956188932","0.9217260956188932","0.9217260956188932"
"60000000","59","59","59","0.9128042100695564","0.9128042100695564","0.9128042100695564"
"61000000","60","60","60","0.9195857174874549","0.9195857174874549","0.9195857174874549"
"62000000","61","61","61","0.9180937310359866","0.9180937310359866","0.9180937310359866"
"63000000","62","62","62","0.9111493647301766","0.9111493647301766","0.9111493647301766"
"64000000","63","63","63","0.9103757344357689","0.9103757344357689","0.9103757344357689"
"65000000","64","64","64","0.8999238762604269","0.8999238762604269","0.8999238762604269"
"66000000","65","65","65","0.9104883830963008","0.9104883830963008","0.9104883830963008"
"67000000","66","66","66","0.9254893834947377","0.9254893834947377","0.9254893834947377"
"68000000","67","67","67","0.9189916553090262","0.9189916553090262","0.9189916553090262"
"69000000","68","68","68","0.91426849971901","0.91426849971901","0.91426849971901"
"70000000","69","69","69","0.9065929778635936","0.9065929778635936","0.9065929778635936"
"71000000","70","70","70","0.9001895769994935","0.9001895769994935","0.9001895769994935"
"72000000","71","71","71","0.8994986008726477","0.8994986008726477","0.8994986008726477"
"73000000","72","72","72","0.9127997151234319","0.9127997151234319","0.9127997151234319"
"74000000","73","73","73","0.9190166322882811","0.9190166322882811","0.9190166322882811"
"75000000","74","74","74","0.9083239988084151","0.9083239988084151","0.9083239988084151"
"76000000","75","75","75","0.9017907476835145","0.9017907476835145","0.9017907476835145"
"77000000","76","76","76","0.9065381467356699","0.9065381467356699","0.9065381467356699"
"78000000","77","77","77","0.8975102420796544","0.8975102420796544","0.8975102420796544"
"79000000","78","78","78","0.9157372575223975","0.9157372575223975","0.9157372575223975"
"80000000","79","79","79","0.9140927250320598","0.9140927250320598","0.9140927250320598"
"81000000","80","80","80","0.9234972310234123","0.9234972310234123","0.9234972310234123"
"82000000","81","81","81","0.9155004295160631","0.9155004295160631","0.9155004295160631"
"83000000","82","82","82","0.9278333912800257","0.9278333912800257","0.9278333912800257"
"84000000","83","83","83","0.9167748557058213","0.9167748557058213","0.9167748557058213"
"85000000","84","84","84","0.9238401478513207","0.9238401478513207","0.9238401478513207"
"86000000","85","85","85","0.9157751616674357","0.9157751616674357","0.9157751616674357"
"87000000","86","86","86","0.9117442861919309","0.9117442861919309","0.9117442861919309"
"88000000","87","87","87","0.9022283108329766","0.9022283108329766","0.9022283108329766"
"89000000","88","88","88","0.914051580571832","0.914051580571832","0.914051580571832"
"90000000","89","89","89","0.9269967047408554","0.9269967047408554","0.9269967047408554"
"91000000","90","90","90","0.9201946599240265","0.9201946599240265","0.9201946599240265"
"92000000","91","91","91","0.9111149107671257","0.9111149107671257","0.9111149107671257"
"93000000","92","92","92","0.9195169262153899","0.9195169262153899","0.9195169262153899"
"94000000","93","93","93","0.934253093120227","0.934253093120227","0.934253093120227"
"95000000","94","94","94","0.9265558410174176","0.9265558410174176","0.9265558410174176"
"96000000","95","95","95","0.9232451201368154","0.9232451201368154","0.9232451201368154"
"97000000","96","96","96","0.8880316149104254","0.8880316149104254","0.8880316149104254"
"98000000","97","97","97","0.9336330368624913","0.9336330368624913","0.9336330368624913"
"99000000","98","98","98","0.928020241872297","0.928020241872297","0.928020241872297"
"100000000","99","99","99","0.9360343539252979","0.9360343539252979","0.9360343539252979"
