"custom_step","comic-firefly-202 - _step","comic-firefly-202 - _step__MIN","comic-firefly-202 - _step__MAX","comic-firefly-202 - train_metrics/Usefulness","comic-firefly-202 - train_metrics/Usefulness__MIN","comic-firefly-202 - train_metrics/Usefulness__MAX"
"1000000","0","0","0","0.6742051820949023","0.6742051820949023","0.6742051820949023"
"2000000","1","1","1","0.7721571916272943","0.7721571916272943","0.7721571916272943"
"3000000","2","2","2","0.9013552456283894","0.9013552456283894","0.9013552456283894"
"4000000","3","3","3","0.9150228234184967","0.9150228234184967","0.9150228234184967"
"5000000","4","4","4","0.9105625026904297","0.9105625026904297","0.9105625026904297"
"6000000","5","5","5","0.7959462048354584","0.7959462048354584","0.7959462048354584"
"7000000","6","6","6","0.9229899693999438","0.9229899693999438","0.9229899693999438"
"8000000","7","7","7","0.8904758789040511","0.8904758789040511","0.8904758789040511"
"9000000","8","8","8","0.9194683855640876","0.9194683855640876","0.9194683855640876"
"10000000","9","9","9","0.9061216955214769","0.9061216955214769","0.9061216955214769"
"11000000","10","10","10","0.9137483588700672","0.9137483588700672","0.9137483588700672"
"12000000","11","11","11","0.9058529816844142","0.9058529816844142","0.9058529816844142"
"13000000","12","12","12","0.917511011778996","0.917511011778996","0.917511011778996"
"14000000","13","13","13","0.9122189964407207","0.9122189964407207","0.9122189964407207"
"15000000","14","14","14","0.9149816568824068","0.9149816568824068","0.9149816568824068"
"16000000","15","15","15","0.8982030626222581","0.8982030626222581","0.8982030626222581"
"17000000","16","16","16","0.9055560195163329","0.9055560195163329","0.9055560195163329"
"18000000","17","17","17","0.8985779463635868","0.8985779463635868","0.8985779463635868"
"19000000","18","18","18","0.9033831650198654","0.9033831650198654","0.9033831650198654"
"20000000","19","19","19","0.8954011046786232","0.8954011046786232","0.8954011046786232"
"21000000","20","20","20","0.9034579421430174","0.9034579421430174","0.9034579421430174"
"22000000","21","21","21","0.9236654877816526","0.9236654877816526","0.9236654877816526"
"23000000","22","22","22","0.9163900895400747","0.9163900895400747","0.9163900895400747"
"24000000","23","23","23","0.9081692059809662","0.9081692059809662","0.9081692059809662"
