"custom_step","breezy-serenity-169 - _step","breezy-serenity-169 - _step__MIN","breezy-serenity-169 - _step__MAX","breezy-serenity-169 - train_metrics/Usefulness","breezy-serenity-169 - train_metrics/Usefulness__MIN","breezy-serenity-169 - train_metrics/Usefulness__MAX"
"43000000","42","42","42","0.9169564424700781","0.9169564424700781","0.9169564424700781"
"44000000","43","43","43","0.9190755191255386","0.9190755191255386","0.9190755191255386"
"45000000","44","44","44","0.9157598875179785","0.9157598875179785","0.9157598875179785"
"46000000","45","45","45","0.9144514109365505","0.9144514109365505","0.9144514109365505"
"47000000","46","46","46","0.9151032222221568","0.9151032222221568","0.9151032222221568"
"48000000","47","47","47","0.9120841067130311","0.9120841067130311","0.9120841067130311"
"49000000","48","48","48","0.9143509243281794","0.9143509243281794","0.9143509243281794"
"50000000","49","49","49","0.916131007018598","0.916131007018598","0.916131007018598"
"51000000","50","50","50","0.9139929510997334","0.9139929510997334","0.9139929510997334"
"52000000","51","51","51","0.9148614490477354","0.9148614490477354","0.9148614490477354"
"53000000","52","52","52","0.9181070204594476","0.9181070204594476","0.9181070204594476"
"54000000","53","53","53","0.9193726935661242","0.9193726935661242","0.9193726935661242"
"55000000","54","54","54","0.9188115417206565","0.9188115417206565","0.9188115417206565"
"56000000","55","55","55","0.9155630178965232","0.9155630178965232","0.9155630178965232"
"57000000","56","56","56","0.9161083712672987","0.9161083712672987","0.9161083712672987"
"58000000","57","57","57","0.9159310146088349","0.9159310146088349","0.9159310146088349"
"59000000","58","58","58","0.9158959745543793","0.9158959745543793","0.9158959745543793"
"60000000","59","59","59","0.9172806434413648","0.9172806434413648","0.9172806434413648"
"61000000","60","60","60","0.9188408497704906","0.9188408497704906","0.9188408497704906"
"62000000","61","61","61","0.9169211613630576","0.9169211613630576","0.9169211613630576"
"63000000","62","62","62","0.9151169804642383","0.9151169804642383","0.9151169804642383"
"64000000","63","63","63","0.9161047123124358","0.9161047123124358","0.9161047123124358"
"65000000","64","64","64","0.9144880559298018","0.9144880559298018","0.9144880559298018"
"66000000","65","65","65","0.9129439214160897","0.9129439214160897","0.9129439214160897"
"67000000","66","66","66","0.9153136502145005","0.9153136502145005","0.9153136502145005"
"68000000","67","67","67","0.9147843021959444","0.9147843021959444","0.9147843021959444"
"69000000","68","68","68","0.916861427075569","0.916861427075569","0.916861427075569"
"70000000","69","69","69","0.9152012194220205","0.9152012194220205","0.9152012194220205"
"71000000","70","70","70","0.9143428104684697","0.9143428104684697","0.9143428104684697"
"72000000","71","71","71","0.9156666533773076","0.9156666533773076","0.9156666533773076"
