"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Neutrality","lively-sky-199 - train_metrics/Neutrality__MIN","lively-sky-199 - train_metrics/Neutrality__MAX"
"88000000","87","87","87","0.8066198466840151","0.8066198466840151","0.8066198466840151"
"89000000","88","88","88","0.8328868840783918","0.8328868840783918","0.8328868840783918"
"90000000","89","89","89","0.8235691835117276","0.8235691835117276","0.8235691835117276"
"91000000","90","90","90","0.8329425170556126","0.8329425170556126","0.8329425170556126"
"92000000","91","91","91","0.8363656434093163","0.8363656434093163","0.8363656434093163"
"93000000","92","92","92","0.8379601062712708","0.8379601062712708","0.8379601062712708"
"94000000","93","93","93","0.8226712414650663","0.8226712414650663","0.8226712414650663"
"95000000","94","94","94","0.8431718329040931","0.8431718329040931","0.8431718329040931"
"96000000","95","95","95","0.8269153690503803","0.8269153690503803","0.8269153690503803"
"97000000","96","96","96","0.8594989580257274","0.8594989580257274","0.8594989580257274"
"98000000","97","97","97","0.8329426276453834","0.8329426276453834","0.8329426276453834"
"99000000","98","98","98","0.8278048929149696","0.8278048929149696","0.8278048929149696"
"100000000","99","99","99","0.8367467701060967","0.8367467701060967","0.8367467701060967"
