"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Neutrality","splendid-dragon-200 - train_metrics/Neutrality__MIN","splendid-dragon-200 - train_metrics/Neutrality__MAX"
"62000000","61","61","61","0.7999330019638102","0.7999330019638102","0.7999330019638102"
"63000000","62","62","62","0.8214431544554881","0.8214431544554881","0.8214431544554881"
"64000000","63","63","63","0.8191249237406523","0.8191249237406523","0.8191249237406523"
"65000000","64","64","64","0.8002359082518656","0.8002359082518656","0.8002359082518656"
"66000000","65","65","65","0.8238071328203854","0.8238071328203854","0.8238071328203854"
"67000000","66","66","66","0.8302820353488806","0.8302820353488806","0.8302820353488806"
"68000000","67","67","67","0.8109444649841254","0.8109444649841254","0.8109444649841254"
"69000000","68","68","68","0.804148135185848","0.804148135185848","0.804148135185848"
"70000000","69","69","69","0.8244942121420771","0.8244942121420771","0.8244942121420771"
"71000000","70","70","70","0.8092165089077418","0.8092165089077418","0.8092165089077418"
"72000000","71","71","71","0.8045794880517214","0.8045794880517214","0.8045794880517214"
"73000000","72","72","72","0.8420942589292242","0.8420942589292242","0.8420942589292242"
"74000000","73","73","73","0.8212772449172194","0.8212772449172194","0.8212772449172194"
"75000000","74","74","74","0.8557024828618481","0.8557024828618481","0.8557024828618481"
"76000000","75","75","75","0.8256891716960177","0.8256891716960177","0.8256891716960177"
"77000000","76","76","76","0.8392071041797704","0.8392071041797704","0.8392071041797704"
"78000000","77","77","77","0.8397446229874644","0.8397446229874644","0.8397446229874644"
"79000000","78","78","78","0.8294730593898927","0.8294730593898927","0.8294730593898927"
"80000000","79","79","79","0.8304276834957963","0.8304276834957963","0.8304276834957963"
"81000000","80","80","80","0.8211312874950375","0.8211312874950375","0.8211312874950375"
"82000000","81","81","81","0.825996797274156","0.825996797274156","0.825996797274156"
"83000000","82","82","82","0.8350523559826817","0.8350523559826817","0.8350523559826817"
"84000000","83","83","83","0.8043370877375515","0.8043370877375515","0.8043370877375515"
"85000000","84","84","84","0.8264098150527472","0.8264098150527472","0.8264098150527472"
"86000000","85","85","85","0.8305186073536405","0.8305186073536405","0.8305186073536405"
"87000000","86","86","86","0.8233466483770161","0.8233466483770161","0.8233466483770161"
"88000000","87","87","87","0.818711727151451","0.818711727151451","0.818711727151451"
"89000000","88","88","88","0.8292287068866495","0.8292287068866495","0.8292287068866495"
