"custom_step","likely-oath-197 - _step","likely-oath-197 - _step__MIN","likely-oath-197 - _step__MAX","likely-oath-197 - train_metrics/Neutrality","likely-oath-197 - train_metrics/Neutrality__MIN","likely-oath-197 - train_metrics/Neutrality__MAX"
"64000000","63","63","63","0.8191409345213684","0.8191409345213684","0.8191409345213684"
"65000000","64","64","64","0.7948387366529722","0.7948387366529722","0.7948387366529722"
"66000000","65","65","65","0.8201647893800657","0.8201647893800657","0.8201647893800657"
"67000000","66","66","66","0.8316727581019375","0.8316727581019375","0.8316727581019375"
"68000000","67","67","67","0.8055468372200094","0.8055468372200094","0.8055468372200094"
"69000000","68","68","68","0.8290632451601746","0.8290632451601746","0.8290632451601746"
"70000000","69","69","69","0.8141996864903316","0.8141996864903316","0.8141996864903316"
"71000000","70","70","70","0.7999394206449186","0.7999394206449186","0.7999394206449186"
"72000000","71","71","71","0.8305548476565902","0.8305548476565902","0.8305548476565902"
"73000000","72","72","72","0.8102102180239074","0.8102102180239074","0.8102102180239074"
"74000000","73","73","73","0.8055133760738208","0.8055133760738208","0.8055133760738208"
"75000000","74","74","74","0.8300998713038347","0.8300998713038347","0.8300998713038347"
"76000000","75","75","75","0.8079506224445278","0.8079506224445278","0.8079506224445278"
"77000000","76","76","76","0.8049930538593164","0.8049930538593164","0.8049930538593164"
"78000000","77","77","77","0.827107335002398","0.827107335002398","0.827107335002398"
"79000000","78","78","78","0.79498020411369","0.79498020411369","0.79498020411369"
"80000000","79","79","79","0.8041813058125867","0.8041813058125867","0.8041813058125867"
"81000000","80","80","80","0.8417082074785547","0.8417082074785547","0.8417082074785547"
"82000000","81","81","81","0.8293979305317852","0.8293979305317852","0.8293979305317852"
"83000000","82","82","82","0.8363156735364909","0.8363156735364909","0.8363156735364909"
"84000000","83","83","83","0.8020158108493288","0.8020158108493288","0.8020158108493288"
"85000000","84","84","84","0.8260268254945525","0.8260268254945525","0.8260268254945525"
"86000000","85","85","85","0.8286080766866201","0.8286080766866201","0.8286080766866201"
"87000000","86","86","86","0.8224365604212511","0.8224365604212511","0.8224365604212511"
"88000000","87","87","87","0.8337906988771815","0.8337906988771815","0.8337906988771815"
"89000000","88","88","88","0.8117675395627612","0.8117675395627612","0.8117675395627612"
"90000000","89","89","89","0.8411362758746385","0.8411362758746385","0.8411362758746385"
"91000000","90","90","90","0.8322294439835759","0.8322294439835759","0.8322294439835759"
"92000000","91","91","91","0.8311981067653117","0.8311981067653117","0.8311981067653117"
"93000000","92","92","92","0.8192239874489814","0.8192239874489814","0.8192239874489814"
"94000000","93","93","93","0.8332786259998366","0.8332786259998366","0.8332786259998366"
"95000000","94","94","94","0.8497099235371993","0.8497099235371993","0.8497099235371993"
"96000000","95","95","95","0.833254517581252","0.833254517581252","0.833254517581252"
"97000000","96","96","96","0.8338052776302634","0.8338052776302634","0.8338052776302634"
"98000000","97","97","97","0.8386645021048371","0.8386645021048371","0.8386645021048371"
"99000000","98","98","98","0.8444607840516948","0.8444607840516948","0.8444607840516948"
"100000000","99","99","99","0.8399468410641814","0.8399468410641814","0.8399468410641814"
